GeneID,Cardamine,log2FC_Ox_WT_leaf_protoplast,Ox.leaf.vs.protoplast_q_value,log2FC_Col0_leaf_protoplast,Col0.leaf.vs.protoplast_q_value
AT1G16022,Chir01Ox_b16080.2,2.1735595,0.005785421,NA,NA
AT1G16030,Chir01Ox_b16090.2,8.809182545,7.07e-60,3.844993558,6.94e-10
AT1G16040,Chir01Ox_b16100.2,3.066544606,1.99e-09,NA,NA
AT1G16190,Chir01Ox_b16240.2,NA,NA,1.100442186,0.021330897
AT1G16300,Chir01Ox_b16340.2,NA,NA,1.762972456,0.000219279
AT1G16330,Chir01Ox_b16370.2,NA,NA,1.680824723,0.000201717
AT1G16540,Chir01Ox_b16580.2,NA,NA,1.194334181,0.015757249
AT1G17050,Chir01Ox_b17120.2,NA,NA,2.016186117,0.001177122
AT1G17170,Chir01Ox_b17270.2,3.515537056,1.95e-10,4.376568962,7.3e-17
AT1G17180,Chir01Ox_b17260.2,4.071693183,6.5e-12,3.142841398,1.16e-09
AT1G17220,Chir01Ox_b17310.2,NA,NA,1.211280934,0.021908998
AT1G17360,Chir01Ox_b17440.2,NA,NA,2.54425211,5.52e-08
AT1G17380,Chir01Ox_b17460.2,1.795842198,5.17e-08,3.846731395,8.35e-05
AT1G17420,Chir01Ox_b17490.2,2.836561831,0.000301645,4.194501669,1.13e-05
AT1G17620,Chir01Ox_b17710.2,1.195641556,0.000923046,NA,NA
AT1G17750,Chir01Ox_b17830.2,NA,NA,1.329548357,0.002906472
AT1G17830,Chir01Ox_b17910.2,NA,NA,2.513011472,0.000212746
AT1G17860,Chir01Ox_b17950.2,2.40668642,9.29e-11,NA,NA
AT1G17870,Chir01Ox_b17940.2,2.337366831,6.61e-12,2.678357105,3.42e-10
AT1G17980,Chir01Ox_b18050.2,1.022074609,0.001732082,1.07581343,0.036240623
AT1G18070,Chir01Ox_b18110.2,NA,NA,1.191762703,0.018826867
AT1G18210,Chir01Ox_b18240.2,2.33820242,2.25e-10,1.268950501,0.02199186
AT1G18330,Chir01Ox_b18340.2,1.712615478,1.06e-06,NA,NA
AT1G18370,Chir01Ox_b18390.2,NA,NA,1.218329757,0.010979003
AT1G18460,Chir01Ox_b18480.2,NA,NA,1.218259295,0.017473895
AT1G18710,Chir01Ox_b18750.2,1.563291751,5.28e-06,NA,NA
AT1G18720,Chir01Ox_b18770.2,1.29077935,6.03e-05,NA,NA
AT1G18740,Chir01Ox_b18790.2,4.842955791,7.98e-21,2.688420796,0.000379367
AT1G18890,Chir01Ox_b18940.2,NA,NA,1.252365142,0.037681269
AT1G18990,Chir01Ox_b19010.2,2.651397127,6.95e-10,NA,NA
AT1G19020,Chir01Ox_b19040.2,4.211719426,1.34e-26,3.676649097,5.27e-10
AT1G19025,Chir01Ox_b19050.2,3.934184232,6.87e-21,3.800089375,9.95e-15
AT1G19100,Chir01Ox_b19090.2,NA,NA,1.198069978,0.017142077
AT1G19115,Chir01Ox_b19110.2,1.118698402,0.001484677,1.186845582,0.010097619
AT1G19140,Chir01Ox_b19140.2,NA,NA,1.167594466,0.015828933
AT1G19180,Chir01Ox_b19180.2,2.167713394,1.06e-08,2.608659158,0.007367363
AT1G19210,Chir01Ox_b19210.2,5.423177839,8.9e-14,2.547190953,0.013938665
AT1G19270,Chir01Ox_b19270.2,2.4784317,1.03e-09,NA,NA
AT1G19380,Chir01Ox_b19370.2,1.584151149,0.002013357,NA,NA
AT1G19450,Chir01Ox_b19430.2,NA,NA,2.735932236,7.25e-10
AT1G19490,Chir01Ox_b19450.2,NA,NA,1.233884751,0.046276168
AT1G19640,Chir01Ox_b19570.2,NA,NA,1.255686983,0.007584124
AT1G19650,Chir01Ox_b19580.2,NA,NA,1.141467911,0.022266522
AT1G19770,Chir01Ox_b19680.2,1.096205824,0.018514328,NA,NA
AT1G19990,Chir01Ox_b19890.2,NA,NA,1.305360032,0.007883755
AT1G20060,Chir01Ox_b19950.2,NA,NA,1.996030465,8.16e-07
AT1G20070,Chir01Ox_b19970.2,1.516817696,0.00925603,NA,NA
AT1G20100,Chir01Ox_b20000.2,1.976152253,2.46e-09,1.700911204,0.000436041
AT1G20120,Chir01Ox_b20020.2,2.447247118,5.81e-10,1.629945658,0.00130307
AT1G20220,Chir01Ox_b20120.2,NA,NA,1.468763456,0.002474511
AT1G20450,Chir01Ox_b20280.2,2.246766601,1.13e-11,2.070396688,0.023369414
AT1G20510,Chir01Ox_b20360.2,2.28761887,1.42e-08,2.921788542,5.83e-06
AT1G20720,Chir01Ox_b20550.2,NA,NA,1.810401896,1.56e-06
AT1G20780,Chir01Ox_b20590.2,NA,NA,1.483262388,0.001222367
AT1G20823,Chir01Ox_b20640.2,2.130387008,6.38e-06,2.679411559,1.08e-05
AT1G20950,Chir01Ox_b20790.2,NA,NA,1.601195655,0.000937655
AT1G21000,Chir01Ox_b20840.2,1.476599053,0.000140016,NA,NA
AT1G21080,Chir01Ox_b20900.2,NA,NA,1.212586744,0.012456345
AT1G21550,Chir01Ox_b21300.2,4.367991028,7.01e-17,NA,NA
AT1G21650,Chir01Ox_b21380.2,NA,NA,1.340347414,0.001368556
AT1G21740,Chir01Ox_b21520.2,NA,NA,1.060778852,0.037115197
AT1G21980,Chir01Ox_b21740.2,NA,NA,2.27004949,0.000585172
AT1G22190,Chir01Ox_b21930.2,1.926819626,9e-08,NA,NA
AT1G22220,Chir01Ox_b21960.2,NA,NA,3.209596896,3.04e-10
AT1G22280,Chir01Ox_b22030.2,NA,NA,1.960907037,7.73e-05
AT1G22310,Chir01Ox_b22050.2,NA,NA,1.411439555,0.007260154
AT1G22650,Chir01Ox_b22400.2,NA,NA,1.836257734,1.95e-05
AT1G22810,Chir01Ox_b22540.2,5.950120464,2.99e-25,4.891901714,1.2e-09
AT1G22830,Chir01Ox_b22550.2,2.925953401,8.68e-07,1.297483902,0.014290924
AT1G23330,Chir01Ox_b23200.2,1.893906206,1.23e-06,NA,NA
AT1G23390,Chir01Ox_b23250.2,2.635976675,8.25e-12,NA,NA
AT1G23450,Chir01Ox_b23300.2,2.286741104,0.00458335,1.674583549,0.000899223
AT1G23460,Chir01Ox_b23310.2,1.006735199,0.011720972,NA,NA
AT1G23550,Chir01Ox_b23390.2,NA,NA,1.741147929,0.000134091
AT1G23710,Chir01Ox_b23490.2,2.228392879,5.49e-09,3.355892616,4.81e-06
AT1G23740,Chir01Ox_b23520.2,NA,NA,1.685313799,0.001962013
AT1G23880,Chir01Ox_b23640.2,1.734484714,3.73e-06,NA,NA
AT1G24140,Chir01Ox_b23810.2,NA,NA,1.854947402,0.017614989
AT1G24310,Chir01Ox_b26010.2,NA,NA,1.033863031,0.033794386
AT1G25220,Chir01Ox_b25600.2,NA,NA,1.50619681,0.000867486
AT1G25400,Chir01Ox_b25340.2,1.856785102,0.013033894,1.910945318,0.017180518
AT1G25422,Chir01Ox_b25310.2,2.827379704,0.005894952,NA,NA
AT1G25682,Chir01Ox_b25130.2,1.119561026,0.00054405,1.148116261,0.030327638
AT1G26090,Chir01Ox_b25120.2,1.043634478,0.001579357,NA,NA
AT1G26140,Chir01Ox_b25060.2,NA,NA,1.864150495,0.000124686
AT1G26330,Chir01Ox_b24880.2,NA,NA,1.324899789,0.001381316
AT1G26540,Chir01Ox_b24730.2,NA,NA,1.776126934,0.011503321
AT1G26560,Chir01Ox_b24710.2,NA,NA,3.767034184,6.19e-19
AT1G26730,Chir01Ox_b24510.2,NA,NA,1.235940859,0.009835035
AT1G26900,Chir01Ox_b24310.2,2.256042739,1.47e-09,NA,NA
AT1G26910,Chir01Ox_b24300.2,1.932485121,6.94e-09,NA,NA
AT1G27100,Chir01Ox_b24060.2,2.572729606,4.97e-06,NA,NA
AT1G27720,Chir01Ox_b26500.2,1.499950632,8.67e-06,1.777314287,1.99e-05
AT1G27730,Chir01Ox_b26510.2,3.432787129,3.15e-09,1.612462272,0.024712532
AT1G27760,Chir01Ox_b26550.2,2.131125887,5.32e-11,1.227401628,0.015187815
AT1G27770,Chir01Ox_b26560.2,3.307829582,5.25e-11,3.235364754,0.000157716
AT1G27880,Chir01Ox_b26590.2,NA,NA,1.433165252,0.000864482
AT1G27910,Chir01Ox_b26620.2,1.114983678,0.000635694,1.045447658,0.042673876
AT1G28060,Chir01Ox_b26770.2,NA,NA,1.128864106,0.023240313
AT1G28190,Chir01Ox_b26940.2,1.889090355,2.57e-06,3.133688339,1.34e-08
AT1G28240,Chir01Ox_b26990.2,1.154761489,0.000452423,NA,NA
AT1G28370,Chir01Ox_b27120.2,2.059252379,0.028920275,NA,NA
AT1G28380,Chir01Ox_b27140.2,2.470740395,7.95e-09,3.522555855,8.68e-10
AT1G28480,Chir01Ox_b27230.2,4.285932037,1.35e-23,5.322928336,2.64e-13
AT1G28760,Chir01Ox_b27450.2,1.964373863,3.39e-06,1.220653175,0.035721512
AT1G29330,Chir01Ox_b27890.2,NA,NA,1.616898072,0.012979105
AT1G29340,Chir01Ox_b27900.2,2.24544414,2.31e-10,2.761472471,3.99e-06
AT1G29630,Chir01Ox_b28170.2,NA,NA,2.083490565,1.66e-06
AT1G29680,Chir01Ox_b28230.2,3.296770903,2.7e-10,2.654696691,1.22e-07
AT1G29690,Chir01Ox_b28240.2,1.401388416,0.000101761,2.536427329,3.23e-05
AT1G29700,Chir01Ox_b28250.2,NA,NA,1.294801091,0.022610795
AT1G29850,Chir01Ox_b28740.2,NA,NA,1.068419634,0.037203673
AT1G29980,Chir01Ox_b28560.2,NA,NA,1.922082067,8.65e-05
AT1G30070,Chir01Ox_b28490.2,NA,NA,1.145637191,0.041711335
AT1G30440,Chir01Ox_b28950.2,NA,NA,1.039993898,0.037704987
AT1G30520,Chir01Ox_b29070.2,NA,NA,1.084231684,0.047680189
AT1G30620,Chir01Ox_b29180.2,NA,NA,2.113142812,0.000185134
AT1G30640,Chir01Ox_b29200.2,NA,NA,2.43211664,5.42e-06
AT1G30680,Chir01Ox_b29230.2,NA,NA,1.507420715,0.000913
AT1G30690,Chir01Ox_b29240.2,NA,NA,2.036850416,2.5e-05
AT1G30700,Chir01Ox_b29250.2,1.264166199,0.007588542,2.319587261,9.32e-06
AT1G30750,Chir01Ox_b29300.2,NA,NA,2.44963407,6.61e-06
AT1G30755,Chir01Ox_b29310.2,1.204283335,0.019888171,1.763601281,0.023925151
AT1G30810,Chir01Ox_b29400.2,1.313365881,0.000679591,1.417136063,0.010243337
AT1G31280,Chir01Ox_b29880.2,1.141854476,0.000143546,NA,NA
AT1G31880,Chir01Ox_b30450.2,NA,NA,1.760407176,0.004408886
AT1G31930,Chir01Ox_b30500.2,NA,NA,1.090216855,0.037438948
AT1G31970,Chir01Ox_b30520.2,NA,NA,1.2798628,0.01307139
AT1G32150,Chir01Ox_b30700.2,NA,NA,1.308240364,0.005017142
AT1G32190,Chir01Ox_b30750.2,1.191667808,0.000680611,NA,NA
AT1G32630,Chir01Ox_b31340.2,NA,NA,1.23677186,0.047257054
AT1G32640,Chir01Ox_b31350.2,1.175523423,0.000962447,2.916582551,3.95e-07
AT1G32900,Chir01Ox_b31520.2,NA,NA,2.500548978,1.59e-08
AT1G32928,Chir01Ox_b31530.2,2.427926255,7.96e-05,NA,NA
AT1G34260,Chir01Ox_b32770.2,1.698517796,7.5e-08,2.060404657,2.66e-05
AT1G34750,Chir01Ox_b32980.2,1.054422254,0.004175148,NA,NA
AT1G35510,Chir01Ox_b33370.2,NA,NA,1.16112019,0.014045799
AT1G35530,Chir01Ox_b33400.2,NA,NA,1.554948394,1.52e-05
AT1G37130,Chir01Ox_b33800.2,2.639204015,2.19e-09,3.069292194,0.000752045
AT1G42430,Chir01Ox_b34210.2,NA,NA,1.176001955,0.013450689
AT1G42470,Chir01Ox_b34230.2,1.184658823,0.000147916,2.137780182,1.08e-06
AT1G42480,Chir01Ox_b34240.2,NA,NA,1.34215686,0.00601731
AT1G42990,Chir01Ox_b34360.2,1.027045645,0.004857039,1.914213519,0.001699414
AT1G43160,Chir01Ox_b34420.2,2.144195315,6.23e-05,NA,NA
AT1G44100,Chir01Ox_b34930.2,NA,NA,1.871576595,0.001259715
AT1G44414,Chir01Ox_b35090.2,1.184240478,0.030128349,NA,NA
AT1G44446,Chir01Ox_b35120.2,NA,NA,1.480086407,0.008050804
AT1G44900,Chir01Ox_b35320.2,NA,NA,1.843190592,1.67e-05
AT1G44910,Chir01Ox_b35360.2,NA,NA,1.487318137,0.001738361
AT1G45110,Chir01Ox_b35460.2,NA,NA,1.33731697,0.023240313
AT1G45145,Chir01Ox_b35480.2,3.954792846,1.19e-25,2.131846076,0.001540197
AT1G45180,Chir01Ox_b35520.2,NA,NA,1.676400493,0.000172233
AT1G47380,Chir01Ox_b36020.2,1.595909734,6.94e-07,1.23895689,0.023336081
AT1G47870,Chir01Ox_b36500.2,NA,NA,1.134442249,0.031356758
AT1G48100,Chir01Ox_b36720.2,NA,NA,2.029529199,0.002564884
AT1G48120,Chir01Ox_b36740.2,NA,NA,1.723650704,3.69e-05
AT1G48310,Chir01Ox_b36900.2,NA,NA,1.061263853,0.04106451
AT1G48405,Chir01Ox_b37000.2,2.552258945,8.91e-07,2.745414366,3.33e-09
AT1G48610,Chir01Ox_b37210.2,NA,NA,1.933218178,1.71e-05
AT1G48850,Chir01Ox_b37810.2,NA,NA,1.11315773,0.02827439
AT1G49050,Chir01Ox_b38030.2,NA,NA,1.394347893,0.001640185
AT1G49450,Chir01Ox_b38380.2,3.63422203,2.55e-06,NA,NA
AT1G49840,Chir01Ox_b38790.2,NA,NA,1.647862974,0.000383662
AT1G49870,Chir01Ox_b38820.2,NA,NA,1.485194392,0.000407509
AT1G50110,Chir01Ox_b39050.2,NA,NA,1.504669749,0.012235276
AT1G50140,Chir01Ox_b39080.2,NA,NA,1.047515578,0.032702422
AT1G50180,Chir01Ox_b39100.2,NA,NA,1.949318826,6.61e-06
AT1G50400,Chir01Ox_b39250.2,1.371430025,0.008605142,NA,NA
AT1G50450,Chir01Ox_b39310.2,NA,NA,1.184366439,0.037983641
