"C.hirsutaOX","A.thaliana.TAIR10"
"Chir01Ox-b01080.2","AT1G01200"
"Chir01Ox-b01090.2","AT1G01190"
"Chir01Ox-b01100.2","AT1G01180"
"Chir01Ox-b01110.2","AT1G01170"
"Chir01Ox-b01120.2","AT1G01160"
"Chir01Ox-b01130.2","AT1G01150"
"Chir01Ox-b01150.2","AT1G01140"
"Chir01Ox-b01160.2","AT1G01120"
"Chir01Ox-b01170.2","AT1G01110"
"Chir01Ox-b01190.2","AT1G01090"
"Chir01Ox-b01200.2","AT1G01080"
"Chir01Ox-b01220.2","AT1G01070"
"Chir01Ox-b01240.2","AT1G01060"
"Chir01Ox-b01260.2","AT4G21240"
"Chir01Ox-b01280.2","AT1G01040"
"Chir01Ox-b01290.2","AT1G01030"
"Chir01Ox-b01300.2","AT1G01020"
"Chir01Ox-b01310.2","AT1G01010"
"Chir01Ox-b01320.2","AT3G04430"
"Chir01Ox-b01330.2","AT1G02220"
"Chir01Ox-b01340.2","AT1G02250"
"Chir01Ox-b01350.2","AT1G02260"
"Chir01Ox-b01360.2","AT1G02270"
"Chir01Ox-b01370.2","AT2G41610"
"Chir01Ox-b01380.2","AT1G02280"
"Chir01Ox-b01390.2","AT1G02290"
"Chir01Ox-b01400.2","AT1G02305"
"Chir01Ox-b01410.2","AT1G02310"
"Chir01Ox-b01430.2","AT1G02330"
"Chir01Ox-b01440.2","AT1G02335"
"Chir01Ox-b01450.2","AT1G02340"
"Chir01Ox-b01470.2","AT1G02360"
"Chir01Ox-b01480.2","AT1G02370"
"Chir01Ox-b01490.2","AT1G02380"
"Chir01Ox-b01500.2","AT1G02390"
"Chir01Ox-b01510.2","AT1G02400"
"Chir01Ox-b01520.2","AT1G02405"
"Chir01Ox-b01530.2","AT1G02410"
"Chir01Ox-b01550.2","AT1G02420"
"Chir01Ox-b01560.2","AT1G02440"
"Chir01Ox-b01570.2","AT1G02450"
"Chir01Ox-b01580.2","AT1G02460"
"Chir01Ox-b01590.2","AT1G02470"
"Chir01Ox-b01600.2","AT1G02475"
"Chir01Ox-b01620.2","AT1G02510"
"Chir01Ox-b01630.2","AT1G02520"
"Chir01Ox-b01640.2","AT1G02550"
"Chir01Ox-b01650.2","AT1G02560"
"Chir01Ox-b01660.2","AT1G02570"
"Chir01Ox-b01670.2","AT1G02580"
"Chir01Ox-b01680.2","AT1G02610"
"Chir01Ox-b01690.2","AT4G02080"
"Chir01Ox-b01700.2","AT1G02630"
"Chir01Ox-b01710.2","AT1G02640"
"Chir01Ox-b01730.2","AT1G02660"
"Chir01Ox-b01740.2","AT1G02680"
"Chir01Ox-b01750.2","AT5G38700"
"Chir01Ox-b01760.2","AT5G61710"
"Chir01Ox-b01770.2","AT1G02690"
"Chir01Ox-b01780.2","AT1G02700"
"Chir01Ox-b01790.2","AT1G02710"
"Chir01Ox-b01800.2","AT1G02720"
"Chir01Ox-b01810.2","AT1G02730"
"Chir01Ox-b01820.2","AT1G02740"
"Chir01Ox-b01830.2","AT1G02750"
"Chir01Ox-b01870.2","AT1G02790"
"Chir01Ox-b01880.2","AT1G02800"
"Chir01Ox-b01890.2","AT1G02810"
"Chir01Ox-b01900.2","AT1G02813"
"Chir01Ox-b01910.2","AT1G02816"
"Chir01Ox-b01920.2","AT1G02820"
"Chir01Ox-b01930.2","AT1G02830"
"Chir01Ox-b01950.2","AT1G02840"
"Chir01Ox-b01960.2","AT1G02850"
"Chir01Ox-b01970.2","AT1G02860"
"Chir01Ox-b01980.2","AT1G02870"
"Chir01Ox-b02000.2","AT1G02880"
"Chir01Ox-b02010.2","AT1G02890"
"Chir01Ox-b02020.2","AT1G02900"
"Chir01Ox-b02030.2","AT1G02910"
"Chir01Ox-b02050.2","AT1G02920"
"Chir01Ox-b02060.2","AT1G02940"
"Chir01Ox-b02070.2","AT1G02950"
"Chir01Ox-b02080.2","AT1G02960"
"Chir01Ox-b02090.2","AT1G02970"
"Chir01Ox-b02110.2","AT1G02990"
"Chir01Ox-b02120.2","AT1G03220"
"Chir01Ox-b02130.2","AT1G03000"
"Chir01Ox-b02140.2","AT1G03010"
"Chir01Ox-b02150.2","AT1G03020"
"Chir01Ox-b02160.2","AT1G03030"
"Chir01Ox-b02170.2","AT1G03040"
"Chir01Ox-b02180.2","AT1G03050"
"Chir01Ox-b02190.2","AT1G03055"
"Chir01Ox-b02200.2","AT1G03060"
"Chir01Ox-b02210.2","AT1G03070"
"Chir01Ox-b02220.2","AT1G03080"
"Chir01Ox-b02230.2","AT1G03090"
"Chir01Ox-b02240.2","AT1G03100"
"Chir01Ox-b02250.2","AT1G03110"
"Chir01Ox-b02270.2","AT1G03140"
"Chir01Ox-b02280.2","AT1G03150"
"Chir01Ox-b02290.2","AT1G03160"
"Chir01Ox-b02300.2","AT1G03170"
"Chir01Ox-b02310.2","AT1G03180"
"Chir01Ox-b02320.2","AT1G03190"
"Chir01Ox-b02330.2","AT1G03210"
"Chir01Ox-b02340.2","AT1G03250"
"Chir01Ox-b02350.2","AT1G03260"
"Chir01Ox-b02360.2","AT1G03270"
"Chir01Ox-b02370.2","AT1G03280"
"Chir01Ox-b02380.2","AT1G03290"
"Chir01Ox-b02410.2","AT1G03310"
"Chir01Ox-b02460.2","AT1G03320"
"Chir01Ox-b02470.2","AT1G03330"
"Chir01Ox-b02490.2","AT1G03350"
"Chir01Ox-b02500.2","AT1G03360"
"Chir01Ox-b02510.2","AT1G03365"
"Chir01Ox-b02520.2","AT1G03370"
"Chir01Ox-b02530.2","AT1G03380"
"Chir01Ox-b02540.2","AT1G03390"
"Chir01Ox-b02550.2","AT1G03430"
"Chir01Ox-b02560.2","AT1G03440"
"Chir01Ox-b02590.2","AT1G03457"
"Chir01Ox-b02600.2","AT1G03470"
"Chir01Ox-b02610.2","AT1G03475"
"Chir01Ox-b02640.2","AT1G03510"
"Chir01Ox-b02650.2","AT1G03520"
"Chir01Ox-b02660.2","AT1G03530"
"Chir01Ox-b02670.2","AT1G03540"
"Chir01Ox-b02680.2","AT1G03550"
"Chir01Ox-b02700.2","AT1G03560"
"Chir01Ox-b02710.2","AT1G03590"
"Chir01Ox-b02720.2","AT1G03600"
"Chir01Ox-b02730.2","AT1G03610"
"Chir01Ox-b02740.2","AT1G03620"
"Chir01Ox-b02750.2","AT1G03630"
"Chir01Ox-b02760.2","AT1G03650"
"Chir01Ox-b02790.2","AT1G03680"
"Chir01Ox-b02800.2","AT1G03687"
"Chir01Ox-b02810.2","AT1G03700"
"Chir01Ox-b02830.2","AT1G03730"
"Chir01Ox-b02840.2","AT1G03740"
"Chir01Ox-b02850.2","AT1G03750"
"Chir01Ox-b02860.2","AT1G03760"
"Chir01Ox-b02870.2","AT1G03770"
"Chir01Ox-b02880.2","AT1G03780"
"Chir01Ox-b02890.2","AT1G03790"
"Chir01Ox-b02910.2","AT1G03820"
"Chir01Ox-b02920.2","AT1G03830"
"Chir01Ox-b02930.2","AT1G03840"
"Chir01Ox-b02940.2","AT1G03850"
"Chir01Ox-b02950.2","AT1G03860"
"Chir01Ox-b02960.2","AT1G03870"
"Chir01Ox-b02980.2","AT1G03890"
"Chir01Ox-b02990.2","AT1G03900"
"Chir01Ox-b03000.2","AT1G03905"
"Chir01Ox-b03010.2","AT1G03910"
"Chir01Ox-b03020.2","AT1G03920"
"Chir01Ox-b03030.2","AT1G03930"
"Chir01Ox-b03040.2","AT1G03940"
"Chir01Ox-b03060.2","AT1G03950"
"Chir01Ox-b03070.2","AT1G03970"
"Chir01Ox-b03080.2","AT1G03980"
"Chir01Ox-b03090.2","AT1G03982"
"Chir01Ox-b03110.2","AT1G04000"
"Chir01Ox-b03120.2","AT1G04010"
"Chir01Ox-b03130.2","AT1G04020"
"Chir01Ox-b03140.2","AT1G04030"
"Chir01Ox-b03150.2","AT1G04040"
"Chir01Ox-b03170.2","AT1G04070"
"Chir01Ox-b03180.2","AT1G04080"
"Chir01Ox-b03190.2","AT1G04090"
"Chir01Ox-b03200.2","AT1G04100"
"Chir01Ox-b03210.2","AT1G04110"
"Chir01Ox-b03220.2","AT1G04120"
"Chir01Ox-b03230.2","AT1G04130"
"Chir01Ox-b03240.2","AT1G04140"
"Chir01Ox-b03250.2","AT1G04160"
"Chir01Ox-b03260.2","AT1G04170"
"Chir01Ox-b03270.2","AT1G04190"
"Chir01Ox-b03280.2","AT1G04200"
"Chir01Ox-b03290.2","AT1G04210"
"Chir01Ox-b03300.2","AT1G04220"
"Chir01Ox-b03310.2","AT1G04230"
"Chir01Ox-b03320.2","AT1G04240"
"Chir01Ox-b03330.2","AT1G04250"
"Chir01Ox-b03340.2","AT1G04260"
"Chir01Ox-b03350.2","AT1G04270"
"Chir01Ox-b03360.2","AT1G04280"
"Chir01Ox-b03370.2","AT1G04290"
"Chir01Ox-b03380.2","AT1G04300"
"Chir01Ox-b03390.2","AT1G04310"
"Chir01Ox-b03400.2","AT1G04330"
"Chir01Ox-b03410.2","AT1G04340"
"Chir01Ox-b03430.2","AT1G04350"
"Chir01Ox-b03440.2","AT1G04360"
"Chir01Ox-b03450.2","AT1G04370"
"Chir01Ox-b03460.2","AT1G04380"
"Chir01Ox-b03470.2","AT1G04390"
"Chir01Ox-b03480.2","AT1G04400"
"Chir01Ox-b03490.2","AT1G04410"
"Chir01Ox-b03500.2","AT1G04420"
"Chir01Ox-b03510.2","AT1G04430"
"Chir01Ox-b03520.2","AT1G04440"
"Chir01Ox-b03540.2","AT1G04450"
"Chir01Ox-b03550.2","AT1G04470"
"Chir01Ox-b03570.2","AT1G04490"
"Chir01Ox-b03580.2","AT1G04500"
"Chir01Ox-b03590.2","AT1G04510"
"Chir01Ox-b03600.2","AT1G04520"
"Chir01Ox-b03610.2","AT1G04530"
"Chir01Ox-b03620.2","AT1G04540"
"Chir01Ox-b03630.2","AT1G04550"
"Chir01Ox-b03640.2","AT1G04555"
"Chir01Ox-b03650.2","AT1G04560"
"Chir01Ox-b03660.2","AT1G04570"
"Chir01Ox-b03670.2","AT1G04580"
"Chir01Ox-b03690.2","AT1G04590"
"Chir01Ox-b03700.2","AT1G04600"
"Chir01Ox-b03710.2","AT1G04610"
"Chir01Ox-b03720.2","AT1G04620"
"Chir01Ox-b03740.2","AT1G04635"
"Chir01Ox-b03750.2","AT1G04640"
"Chir01Ox-b03770.2","AT1G04650"
"Chir01Ox-b03780.2","AT1G04660"
"Chir01Ox-b03790.2","AT1G04670"
"Chir01Ox-b03800.2","AT1G04680"
"Chir01Ox-b03810.2","AT1G04690"
"Chir01Ox-b03820.2","AT1G04700"
"Chir01Ox-b03830.2","AT1G50920"
"Chir01Ox-b03840.2","AT1G04710"
"Chir01Ox-b03860.2","AT1G04730"
"Chir01Ox-b03870.2","AT1G04750"
"Chir01Ox-b03880.2","AT1G04760"
"Chir01Ox-b03890.2","AT1G04770"
"Chir01Ox-b03900.2","AT1G04778"
"Chir01Ox-b03910.2","AT1G04780"
"Chir01Ox-b03920.2","AT1G04790"
"Chir01Ox-b03960.2","AT1G04810"
"Chir01Ox-b03970.2","AT1G04830"
"Chir01Ox-b03980.2","AT1G04840"
"Chir01Ox-b03990.2","AT1G04850"
"Chir01Ox-b04000.2","AT1G04860"
"Chir01Ox-b04010.2","AT1G04870"
"Chir01Ox-b04020.2","AT1G04880"
"Chir01Ox-b04030.2","AT1G04890"
"Chir01Ox-b04050.2","AT1G04900"
"Chir01Ox-b04060.2","AT1G04910"
"Chir01Ox-b04070.2","AT1G04920"
"Chir01Ox-b04080.2","AT1G04930"
"Chir01Ox-b04090.2","AT1G04940"
"Chir01Ox-b04100.2","AT1G04945"
"Chir01Ox-b04110.2","AT1G04950"
"Chir01Ox-b04120.2","AT1G04960"
"Chir01Ox-b04130.2","AT1G04970"
"Chir01Ox-b04140.2","AT1G04980"
"Chir01Ox-b04150.2","AT1G04985"
"Chir01Ox-b04160.2","AT1G04990"
"Chir01Ox-b04170.2","AT1G05000"
"Chir01Ox-b04190.2","AT1G05010"
"Chir01Ox-b04200.2","AT1G05020"
"Chir01Ox-b04210.2","AT1G05030"
"Chir01Ox-b04240.2","AT1G05040"
"Chir01Ox-b04250.2","AT1G05055"
"Chir01Ox-b04260.2","AT1G05060"
"Chir01Ox-b04280.2","AT1G05065"
"Chir01Ox-b04290.2","AT1G05070"
"Chir01Ox-b04300.2","AT4G20720"
"Chir01Ox-b04310.2","AT1G05100"
"Chir01Ox-b04320.2","AT5G27260"
"Chir01Ox-b04330.2","AT5G35695"
"Chir01Ox-b04340.2","AT1G05120"
"Chir01Ox-b04370.2","AT1G05140"
"Chir01Ox-b04380.2","AT1G05150"
"Chir01Ox-b04390.2","AT1G05160"
"Chir01Ox-b04400.2","AT1G05170"
"Chir01Ox-b04410.2","AT1G05180"
"Chir01Ox-b04420.2","AT1G05190"
"Chir01Ox-b04430.2","AT1G05200"
"Chir01Ox-b04440.2","AT1G05205"
"Chir01Ox-b04450.2","AT1G05210"
"Chir01Ox-b04460.2","AT1G05230"
"Chir01Ox-b04470.2","AT1G05250"
"Chir01Ox-b04490.2","AT1G05260"
"Chir01Ox-b04500.2","AT1G05270"
"Chir01Ox-b04510.2","AT1G05280"
"Chir01Ox-b04520.2","AT4G34880"
"Chir01Ox-b04530.2","AT1G05290"
"Chir01Ox-b04540.2","AT1G05291"
"Chir01Ox-b04550.2","AT1G05300"
"Chir01Ox-b04560.2","AT1G05310"
"Chir01Ox-b04570.2","AT1G05320"
"Chir01Ox-b04580.2","AT1G05330"
"Chir01Ox-b04600.2","AT1G05600"
"Chir01Ox-b04610.2","AT1G05350"
"Chir01Ox-b04620.2","AT3G61650"
"Chir01Ox-b04630.2","AT1G05360"
"Chir01Ox-b04640.2","AT1G05370"
"Chir01Ox-b04650.2","AT1G05380"
"Chir01Ox-b04660.2","AT1G05385"
"Chir01Ox-b04670.2","AT1G05420"
"Chir01Ox-b04680.2","AT1G05410"
"Chir01Ox-b04690.2","AT1G05440"
"Chir01Ox-b04700.2","AT1G05450"
"Chir01Ox-b04710.2","AT1G05460"
"Chir01Ox-b04720.2","AT1G05470"
"Chir01Ox-b04730.2","AT1G05490"
"Chir01Ox-b04740.2","AT1G05500"
"Chir01Ox-b04750.2","AT1G05510"
"Chir01Ox-b04760.2","AT1G05520"
"Chir01Ox-b04770.2","AT1G05530"
"Chir01Ox-b04780.2","AT1G05540"
"Chir01Ox-b04790.2","AT1G05560"
"Chir01Ox-b04800.2","AT1G05570"
"Chir01Ox-b04810.2","AT2G24670"
"Chir01Ox-b04830.2","AT1G05577"
"Chir01Ox-b04840.2","AT1G05580"
"Chir01Ox-b04850.2","AT1G05590"
"Chir01Ox-b04870.2","AT1G05610"
"Chir01Ox-b04880.2","AT1G05620"
"Chir01Ox-b04890.2","AT1G05630"
"Chir01Ox-b04910.2","AT1G05650"
"Chir01Ox-b04920.2","AT1G05670"
"Chir01Ox-b04930.2","AT1G05680"
"Chir01Ox-b04940.2","AT1G05690"
"Chir01Ox-b04960.2","AT1G05710"
"Chir01Ox-b04970.2","AT1G05720"
"Chir01Ox-b04980.2","AT1G05730"
"Chir01Ox-b04990.2","AT1G05750"
"Chir01Ox-b05000.2","AT1G05760"
"Chir01Ox-b05010.2","AT1G05770"
"Chir01Ox-b05020.2","AT1G05780"
"Chir01Ox-b05030.2","AT1G05785"
"Chir01Ox-b05040.2","AT1G05790"
"Chir01Ox-b05050.2","AT1G05800"
"Chir01Ox-b05060.2","AT1G05805"
"Chir01Ox-b05070.2","AT1G05810"
"Chir01Ox-b05080.2","AT1G05820"
"Chir01Ox-b05090.2","AT1G05830"
"Chir01Ox-b05100.2","AT1G05835"
"Chir01Ox-b05110.2","AT1G05840"
"Chir01Ox-b05120.2","AT1G05850"
"Chir01Ox-b05130.2","AT1G05860"
"Chir01Ox-b05140.2","AT1G05870"
"Chir01Ox-b05150.2","AT1G05880"
"Chir01Ox-b05160.2","AT1G05894"
"Chir01Ox-b05200.2","AT1G05900"
"Chir01Ox-b05210.2","AT1G05910"
"Chir01Ox-b05220.2","AT1G05920"
"Chir01Ox-b05240.2","AT1G05950"
"Chir01Ox-b05250.2","AT1G05960"
"Chir01Ox-b05260.2","AT1G05970"
"Chir01Ox-b05270.2","AT1G05990"
"Chir01Ox-b05280.2","AT1G06000"
"Chir01Ox-b05290.2","AT1G06010"
"Chir01Ox-b05300.2","AT1G06020"
"Chir01Ox-b05310.2","AT1G06030"
"Chir01Ox-b05320.2","AT1G06040"
"Chir01Ox-b05330.2","AT1G06050"
"Chir01Ox-b05340.2","AT1G06060"
"Chir01Ox-b05350.2","AT1G06070"
"Chir01Ox-b05360.2","AT1G06080"
"Chir01Ox-b05370.2","AT1G06090"
"Chir01Ox-b05380.2","AT1G06110"
"Chir01Ox-b05410.2","AT1G06137"
"Chir01Ox-b05420.2","AT1G06140"
"Chir01Ox-b05430.2","AT1G06150"
"Chir01Ox-b05440.2","AT1G06149"
"Chir01Ox-b05450.2","AT1G06160"
"Chir01Ox-b05460.2","AT1G06170"
"Chir01Ox-b05470.2","AT1G06180"
"Chir01Ox-b05480.2","AT1G06190"
"Chir01Ox-b05490.2","AT1G06200"
"Chir01Ox-b05500.2","AT1G06210"
"Chir01Ox-b05510.2","AT1G06220"
"Chir01Ox-b05520.2","AT1G06225"
"Chir01Ox-b05530.2","AT1G06230"
"Chir01Ox-b05540.2","AT1G06240"
"Chir01Ox-b05550.2","AT1G06250"
"Chir01Ox-b05560.2","AT1G06260"
"Chir01Ox-b05570.2","AT1G06270"
"Chir01Ox-b05590.2","AT1G06280"
"Chir01Ox-b05600.2","AT1G06290"
"Chir01Ox-b05610.2","AT1G06320"
"Chir01Ox-b05620.2","AT1G06330"
"Chir01Ox-b05630.2","AT1G06340"
"Chir01Ox-b05720.2","AT1G06360"
"Chir01Ox-b05730.2","AT1G06380"
"Chir01Ox-b05750.2","AT1G06400"
"Chir01Ox-b05760.2","AT1G06410"
"Chir01Ox-b05770.2","AT1G06420"
"Chir01Ox-b05780.2","AT1G06430"
"Chir01Ox-b05790.2","AT1G06440"
"Chir01Ox-b05800.2","AT1G06450"
"Chir01Ox-b05810.2","AT1G06460"
"Chir01Ox-b05820.2","AT1G06470"
"Chir01Ox-b05830.2","AT1G06475"
"Chir01Ox-b05840.2","AT1G06490"
"Chir01Ox-b05850.2","AT1G06500"
"Chir01Ox-b05860.2","AT1G06515"
"Chir01Ox-b05870.2","AT1G06510"
"Chir01Ox-b05880.2","AT1G06520"
"Chir01Ox-b05890.2","AT1G06530"
"Chir01Ox-b05910.2","AT1G06550"
"Chir01Ox-b05920.2","AT1G06560"
"Chir01Ox-b05930.2","AT1G06570"
"Chir01Ox-b05940.2","AT1G06590"
"Chir01Ox-b05950.2","AT1G06620"
"Chir01Ox-b05960.2","AT1G06640"
"Chir01Ox-b05990.2","AT1G06650"
"Chir01Ox-b06000.2","AT1G06660"
"Chir01Ox-b06010.2","AT1G06670"
"Chir01Ox-b06030.2","AT1G06680"
"Chir01Ox-b06040.2","AT1G06690"
"Chir01Ox-b06050.2","AT1G06700"
"Chir01Ox-b06060.2","AT1G06710"
"Chir01Ox-b06080.2","AT1G06720"
"Chir01Ox-b06090.2","AT1G51990"
"Chir01Ox-b06110.2","AT1G06730"
"Chir01Ox-b06130.2","AT1G06750"
"Chir01Ox-b06150.2","AT1G06770"
"Chir01Ox-b06160.2","AT1G06780"
"Chir01Ox-b06170.2","AT1G06790"
"Chir01Ox-b06180.2","AT1G06800"
"Chir01Ox-b06190.2","AT1G06820"
"Chir01Ox-b06200.2","AT1G06830"
"Chir01Ox-b06210.2","AT1G06840"
"Chir01Ox-b06220.2","AT1G06850"
"Chir01Ox-b06230.2","AT1G06870"
"Chir01Ox-b06240.2","AT1G06890"
"Chir01Ox-b06250.2","AT1G06900"
"Chir01Ox-b06260.2","AT1G06910"
"Chir01Ox-b06270.2","AT1G06920"
"Chir01Ox-b06280.2","AT1G06923"
"Chir01Ox-b06290.2","AT1G06930"
"Chir01Ox-b06300.2","AT1G06950"
"Chir01Ox-b06310.2","AT1G06960"
"Chir01Ox-b06320.2","AT1G06970"
"Chir01Ox-b06330.2","AT1G06980"
"Chir01Ox-b06340.2","AT1G06990"
"Chir01Ox-b06370.2","AT1G07000"
"Chir01Ox-b06390.2","AT1G07010"
"Chir01Ox-b06400.2","AT1G07020"
"Chir01Ox-b06410.2","AT1G07030"
"Chir01Ox-b06420.2","AT1G07040"
"Chir01Ox-b06430.2","AT1G07050"
"Chir01Ox-b06440.2","AT1G07060"
"Chir01Ox-b06450.2","AT1G07070"
"Chir01Ox-b06460.2","AT1G07080"
"Chir01Ox-b06470.2","AT1G07090"
"Chir01Ox-b06480.2","AT1G07110"
"Chir01Ox-b06490.2","AT1G07130"
"Chir01Ox-b06500.2","AT1G07120"
"Chir01Ox-b06520.2","AT1G07135"
"Chir01Ox-b06530.2","AT1G07140"
"Chir01Ox-b06540.2","AT1G07150"
"Chir01Ox-b06550.2","AT1G07160"
"Chir01Ox-b06570.2","AT1G07175"
"Chir01Ox-b06590.2","AT1G07180"
"Chir01Ox-b06600.2","AT1G07200"
"Chir01Ox-b06610.2","AT1G07210"
"Chir01Ox-b06620.2","AT1G07220"
"Chir01Ox-b06630.2","AT1G07230"
"Chir01Ox-b06640.2","AT1G07240"
"Chir01Ox-b06650.2","AT1G07250"
"Chir01Ox-b06660.2","AT1G07260"
"Chir01Ox-b06680.2","AT1G07280"
"Chir01Ox-b06690.2","AT1G07290"
"Chir01Ox-b06700.2","AT1G07300"
"Chir01Ox-b06710.2","AT1G07310"
"Chir01Ox-b06720.2","AT1G07320"
"Chir01Ox-b06730.2","AT1G07330"
"Chir01Ox-b06740.2","AT1G07340"
"Chir01Ox-b06750.2","AT1G07350"
"Chir01Ox-b06760.2","AT1G07360"
"Chir01Ox-b06770.2","AT1G07370"
"Chir01Ox-b06780.2","AT1G07380"
"Chir01Ox-b06790.2","AT1G07390"
"Chir01Ox-b06800.2","AT1G07400"
"Chir01Ox-b06840.2","AT1G07410"
"Chir01Ox-b06850.2","AT1G07420"
"Chir01Ox-b06860.2","AT1G07430"
"Chir01Ox-b06900.2","AT1G07470"
"Chir01Ox-b06910.2","AT1G07473"
"Chir01Ox-b06920.2","AT2G29200"
"Chir01Ox-b06980.2","AT1G07510"
"Chir01Ox-b06990.2","AT1G07520"
"Chir01Ox-b07000.2","AT1G07530"
"Chir01Ox-b07010.2","AT1G07540"
"Chir01Ox-b07020.2","AT2G14510"
"Chir01Ox-b07040.2","AT1G07550"
"Chir01Ox-b07050.2","AT1G07560"
"Chir01Ox-b07060.2","AT1G07570"
"Chir01Ox-b07070.2","AT1G07590"
"Chir01Ox-b07080.2","AT1G07600"
"Chir01Ox-b07090.2","AT1G07615"
"Chir01Ox-b07100.2","AT1G07620"
"Chir01Ox-b07110.2","AT1G07630"
"Chir01Ox-b07120.2","AT1G07640"
"Chir01Ox-b07130.2","AT1G07650"
"Chir01Ox-b07140.2","AT1G07645"
"Chir01Ox-b07150.2","AT1G07690"
"Chir01Ox-b07160.2","AT1G07700"
"Chir01Ox-b07170.2","AT1G07705"
"Chir01Ox-b07180.2","AT1G07710"
"Chir01Ox-b07200.2","AT1G07720"
"Chir01Ox-b07210.2","AT1G07725"
"Chir01Ox-b07220.2","AT1G07730"
"Chir01Ox-b07230.2","AT1G07740"
"Chir01Ox-b07240.2","AT1G07745"
