PeakID	Chr	Start	End	Strand	Peak.Score	Focus.Ratio.Region.Size	Annotation	Detailed.Annotation	Distance.to.TSS	Nearest.PromoterID	Chi_ID	Ath_ID
Peak21	Chr6	15670038	15671495	+	0	NA	promoter-TSS	NA	-251	Chir06Ox_b12020.2_T001	Chir06Ox_b12020.2	NA
Peak22	Chr7	15752009	15752785	+	0	NA	promoter-TSS	NA	-258	Chir07Ox_b10860.2_T001	Chir07Ox_b10860.2	AT4G14730
Peak23	Chr5	1393835	1396385	+	0	NA	promoter-TSS	NA	-1785	Chir05Ox_b02520.2_T001	Chir05Ox_b02520.2	NA
Peak24	Chr1	10773026	10774423	+	0	NA	TTS	NA	2021	Chir01Ox_b28410.2_T001	Chir01Ox_b28410.2	AT1G30190
Peak25	Chr6	25890644	25892614	+	0	NA	promoter-TSS	NA	-725	Chir06Ox_b37160.2_T001	Chir06Ox_b37160.2	AT5G01250
Peak26	Chr7	26664225	26665230	+	0	NA	promoter-TSS	NA	-1391	Chir07Ox_b36740.2_T001	Chir07Ox_b36740.2	AT4G39000
Peak27	Chr6	24051074	24053251	+	0	NA	promoter-TSS	NA	-2488	Chir06Ox_b32290.2_T001	Chir06Ox_b32290.2	AT5G06710
Peak28	Chr6	25383514	25387642	+	0	NA	promoter-TSS	NA	-1925	Chir06Ox_b35800.2_T001	Chir06Ox_b35800.2	AT5G03210
Peak29	Chr7	17055072	17056909	+	0	NA	promoter-TSS	NA	-635	Chir07Ox_b13120.2_T001	Chir07Ox_b13120.2	AT4G16447
Peak30	Chr3	7831293	7832995	+	0	NA	TTS	NA	2407	Chir03Ox_b21580.2_T001	Chir03Ox_b21580.2	AT3G21420
Peak31	Chr7	22186668	22188312	+	0	NA	promoter-TSS	NA	-531	Chir07Ox_b25210.2_T001	Chir07Ox_b25210.2	AT4G28040
Peak32	Chr1	7380309	7382239	+	0	NA	TTS	NA	2200	Chir01Ox_b20860.2_T001	Chir01Ox_b20860.2	AT1G21050
Peak33	Chr6	17053424	17054289	+	0	NA	promoter-TSS	NA	-154	Chir06Ox_b14540.2_T001	Chir06Ox_b14540.2	AT5G25240
Peak34	Chr4	18288089	18289656	+	0	NA	promoter-TSS	NA	-1828	Chir04Ox_b13060.2_T001	Chir04Ox_b13060.2	AT2G31230
Peak35	Chr5	3716435	3718031	+	0	NA	Intergenic	NA	5247	Chir05Ox_b05740.2_T001	Chir05Ox_b05740.2	AT4G38190
Peak36	Chr1	2954876	2960162	+	0	NA	promoter-TSS	NA	-2609	Chir01Ox_b08460.2_T001	Chir01Ox_b08460.2	AT2G31580
Peak37	Chr6	17236463	17238778	+	0	NA	promoter-TSS	NA	-997	Chir06Ox_b14840.2_T001	Chir06Ox_b14840.2	AT5G24910
Peak38	Chr1	11705907	11706891	+	0	NA	Intergenic	NA	-6022	Chir01Ox_b29900.2_T001	Chir01Ox_b29900.2	AT1G31310
Peak39	Chr1	7657249	7660561	+	0	NA	promoter-TSS	NA	-1712	Chir01Ox_b21570.2_T001	Chir01Ox_b21570.2	AT1G21810
Peak40	Chr1	8174276	8175197	+	0	NA	promoter-TSS	NA	-1361	Chir01Ox_b22800.2_T001	Chir01Ox_b22800.2	AT1G23040
Peak41	Chr1	11700200	11701391	+	0	NA	promoter-TSS	NA	-418	Chir01Ox_b29900.2_T001	Chir01Ox_b29900.2	AT1G31310
Peak42	Chr3	22776265	22777602	+	0	NA	intron	NA	2180	Chir03Ox_b34150.2_T001	Chir03Ox_b34150.2	AT2G19580
Peak43	Chr1	11027246	11028721	+	0	NA	intron	NA	3584	Chir01Ox_b28820.2_T001	Chir01Ox_b28820.2	AT1G30290
Peak44	Chr7	4048082	4049134	+	0	NA	intron	NA	1098	Chir07Ox_b05320.2_T001	Chir07Ox_b05320.2	AT5G37740
Peak45	Chr7	20534106	20535167	+	0	NA	promoter-TSS	NA	-312	Chir07Ox_b20750.2_T001	Chir07Ox_b20750.2	AT4G23740
Peak46	Chr2	1225049	1226436	+	0	NA	Intergenic	NA	4724	Chir02Ox_b02230.2_T001	Chir02Ox_b02230.2	NA
Peak47	Chr8	2495258	2496802	+	0	NA	promoter-TSS	NA	-852	Chir08Ox_b05460.2_T001	Chir08Ox_b05460.2	NA
Peak48	Chr7	17728688	17729833	+	0	NA	TTS	NA	2417	Chir07Ox_b14610.2_T001	Chir07Ox_b14610.2	AT4G17760
Peak49	Chr7	24976491	24978016	+	0	NA	promoter-TSS	NA	-595	Chir07Ox_b32390.2_T001	Chir07Ox_b32390.2	AT4G34960
Peak50	Chr1	7010771	7011865	+	0	NA	intron	NA	1112	Chir01Ox_b19910.2_T001	Chir01Ox_b19910.2	AT1G20010
Peak51	Chr4	23234161	23235226	+	0	NA	intron	NA	1152	Chir04Ox_b24380.2_T001	Chir04Ox_b24380.2	AT2G41560
Peak52	Chr6	23077765	23079524	+	0	NA	TTS	NA	1517	Chir06Ox_b29540.2_T001	Chir06Ox_b29540.2	AT5G09805
Peak53	Chr5	481570	483720	+	0	NA	intron	NA	291	Chir05Ox_b00880.2_T001	Chir05Ox_b00880.2	AT2G01890
Peak54	Chr8	18891844	18893183	+	0	NA	promoter-TSS	NA	-384	Chir08Ox_b27480.2_T002	Chir08Ox_b27480.2	AT5G64860
Peak55	Chr3	6448152	6449998	+	0	NA	promoter-TSS	NA	-827	Chir03Ox_b18370.2_T001	Chir03Ox_b18370.2	AT3G18524
Peak56	Chr1	549389	551273	+	0	NA	Intergenic	NA	-3322	Chir01Ox_b01510.2_T001	Chir01Ox_b01510.2	AT1G02400
Peak57	Chr1	6239953	6241390	+	0	NA	intron	NA	1649	Chir01Ox_b17820.2_T001	Chir01Ox_b17820.2	AT1G17745
Peak58	Chr7	23115745	23119225	+	0	NA	promoter-TSS	NA	-2238	Chir07Ox_b27540.2_T001	Chir07Ox_b27540.2	AT4G30270
Peak59	Chr5	21232558	21233571	+	0	NA	promoter-TSS	NA	-2641	Chir05Ox_b20840.2_T001	Chir05Ox_b20840.2	AT3G55270
Peak60	Chr5	2252916	2253891	+	0	NA	promoter-TSS	NA	-120	Chir05Ox_b04030.2_T001	Chir05Ox_b04030.2	AT3G26740
Peak61	Chr5	18563735	18565156	+	0	NA	Intergenic	NA	3597	Chir05Ox_b15180.2_T001	Chir05Ox_b15180.2	NA
Peak62	Chr8	19573083	19574455	+	0	NA	promoter-TSS	NA	-927	Chir08Ox_b29300.2_T001	Chir08Ox_b29300.2	AT5G67060
Peak63	Chr1	25343445	25344227	+	0	NA	promoter-TSS	NA	19	Chir01Ox_b39870.2_T001	Chir01Ox_b39870.2	AT1G51070
Peak64	Chr7	26068828	26069877	+	0	NA	Intergenic	NA	-4759	Chir07Ox_b35180.2_T001	Chir07Ox_b35180.2	AT4G37740
Peak65	Chr5	21103967	21106485	+	0	NA	promoter-TSS	NA	-1846	Chir05Ox_b20520.2_T001	Chir05Ox_b20520.2	AT3G54990
Peak66	Chr4	20888438	20889209	+	0	NA	promoter-TSS	NA	-90	Chir04Ox_b19090.2_T003	Chir04Ox_b19090.2	AT2G36810
Peak67	Chr5	524887	526621	+	0	NA	promoter-TSS	NA	-619	Chir05Ox_b00960.2_T001	Chir05Ox_b00960.2	AT2G01940
Peak68	Chr2	17635105	17636268	+	0	NA	promoter-TSS	NA	-106	Chir02Ox_b14960.2_T001	Chir02Ox_b14960.2	AT1G68620
Peak69	Chr5	1036056	1036906	+	0	NA	promoter-TSS	NA	-200	Chir05Ox_b01780.2_T001	Chir05Ox_b01780.2	NA
Peak70	Chr1	4805425	4807467	+	0	NA	promoter-TSS	NA	647	Chir01Ox_b13630.2_T001	Chir01Ox_b13630.2	NA
Peak71	Chr7	25088959	25090145	+	0	NA	promoter-TSS	NA	-2159	Chir07Ox_b32690.2_T001	Chir07Ox_b32690.2	AT4G35230
Peak72	Chr7	16444997	16445846	+	0	NA	promoter-TSS	NA	-2239	Chir07Ox_b11960.2_T001	Chir07Ox_b11960.2	AT3G43800
Peak73	Chr1	5294322	5295139	+	0	NA	TTS	NA	1569	Chir01Ox_b15000.2_T001	Chir01Ox_b15000.2	AT1G14860
Peak74	Chr1	11021742	11024545	+	0	NA	promoter-TSS	NA	-1306	Chir01Ox_b28810.2_T001	Chir01Ox_b28810.2	AT1G30280
Peak75	Chr6	26111414	26112835	+	0	NA	TTS	NA	2357	Chir06Ox_b37760.2_T001	Chir06Ox_b37760.2	AT5G01820
Peak76	Chr1	10618183	10620658	+	0	NA	TTS	NA	1965	Chir01Ox_b28180.2_T001	Chir01Ox_b28180.2	AT1G29640
Peak77	Chr1	23551930	23553040	+	0	NA	promoter-TSS	NA	-1960	Chir01Ox_b37230.2_T001	Chir01Ox_b37230.2	NA
Peak78	Chr7	26610625	26611500	+	0	NA	TTS	NA	124	Chir07Ox_b36630.2_T001	Chir07Ox_b36630.2	AT4G39090
Peak79	Chr7	19670954	19673392	+	0	NA	promoter-TSS	NA	-824	Chir07Ox_b18670.2_T002	Chir07Ox_b18670.2	AT4G22010
Peak80	Chr1	12286760	12290094	+	0	NA	Intergenic	NA	8474	Chir01Ox_b30800.2_T001	Chir01Ox_b30800.2	AT1G32240
Peak81	Chr6	18760891	18762390	+	0	NA	intron	NA	506	Chir06Ox_b18110.2_T001	Chir06Ox_b18110.2	AT5G20960
Peak82	Chr7	16501191	16502450	+	0	NA	promoter-TSS	NA	-2367	Chir07Ox_b12060.2_T001	Chir07Ox_b12060.2	AT4G15610
Peak83	Chr5	23235883	23237380	+	0	NA	promoter-TSS	NA	-275	Chir05Ox_b26210.2_T003	Chir05Ox_b26210.2	AT3G60390
Peak84	Chr7	19260356	19262248	+	0	NA	promoter-TSS	NA	-1881	Chir07Ox_b17790.2_T002	Chir07Ox_b17790.2	AT4G21215
Peak85	Chr2	22118274	22124234	+	0	NA	Intergenic	NA	-4698	Chir02Ox_b25260.2_T001	Chir02Ox_b25260.2	AT1G78240
Peak86	Chr6	24750844	24751706	+	0	NA	promoter-TSS	NA	-99	Chir06Ox_b34220.2_T001	Chir06Ox_b34220.2	AT5G04740
Peak87	Chr3	601800	603580	+	0	NA	promoter-TSS	NA	-259	Chir03Ox_b01880.2_T001	Chir03Ox_b01880.2	AT3G02750
Peak88	Chr4	17537103	17539753	+	0	NA	promoter-TSS	NA	-2554	Chir04Ox_b11690.2_T001	Chir04Ox_b11690.2	AT2G30070
Peak89	Chr7	20108273	20111095	+	0	NA	promoter-TSS	NA	-1100	Chir07Ox_b19770.2_T001	Chir07Ox_b19770.2	AT4G22980
Peak90	Chr6	19583508	19584405	+	0	NA	Intergenic	NA	2218	Chir06Ox_b20300.2_T001	Chir06Ox_b20300.2	AT5G18850
Peak91	Chr8	18336588	18338806	+	0	NA	promoter-TSS	NA	-619	Chir08Ox_b25940.2_T001	Chir08Ox_b25940.2	AT5G63410
Peak92	Chr7	26100350	26105403	+	0	NA	Intergenic	NA	-4293	Chir07Ox_b35220.2_T001	Chir07Ox_b35220.2	AT4G37780
Peak93	Chr6	16749273	16753062	+	0	NA	Intergenic	NA	5278	Chir06Ox_b14030.2_T001	Chir06Ox_b14030.2	AT5G25820
Peak94	Chr8	17160656	17163646	+	0	NA	promoter-TSS	NA	-2738	Chir08Ox_b22900.2_T002	Chir08Ox_b22900.2	AT5G60450
Peak95	Chr6	3827002	3828284	+	0	NA	promoter-TSS	NA	-400	Chir06Ox_b05180.2_T001	Chir06Ox_b05180.2	AT5G44010
Peak96	Chr8	19396569	19397925	+	0	NA	TTS	NA	1287	Chir08Ox_b28830.2_T001	Chir08Ox_b28830.2	AT5G67450
Peak97	Chr8	14823635	14826181	+	0	NA	promoter-TSS	NA	-1271	Chir08Ox_b17010.2_T001	Chir08Ox_b17010.2	AT5G55050
Peak98	Chr6	23282898	23283884	+	0	NA	promoter-TSS	NA	-2041	Chir06Ox_b30210.2_T002	Chir06Ox_b30210.2	AT5G08710
Peak99	Chr7	22510041	22512070	+	0	NA	TTS	NA	2329	Chir07Ox_b26140.2_T001	Chir07Ox_b26140.2	AT4G28890
Peak100	Chr4	17474420	17475963	+	0	NA	intron	NA	3059	Chir04Ox_b11590.2_T001	Chir04Ox_b11590.2	AT2G30010
Peak101	Chr4	18720824	18722644	+	0	NA	promoter-TSS	NA	-610	Chir04Ox_b14050.2_T001	Chir04Ox_b14050.2	AT2G32150
Peak102	Chr4	24759186	24760760	+	0	NA	promoter-TSS	NA	-587	Chir04Ox_b28360.2_T001	Chir04Ox_b28360.2	AT1G33720
Peak103	Chr1	1438813	1439616	+	0	NA	promoter-TSS	NA	-187	Chir01Ox_b04050.2_T001	Chir01Ox_b04050.2	AT1G04900
Peak104	Chr1	27618301	27619782	+	0	NA	promoter-TSS	NA	-298	Chir01Ox_b44620.2_T001	Chir01Ox_b44620.2	AT1G56145
Peak105	Chr3	21197410	21198179	+	0	NA	promoter-TSS	NA	-1293	Chir03Ox_b32040.2_T001	Chir03Ox_b32040.2	AT2G17680
Peak106	Chr4	13908273	13909922	+	0	NA	promoter-TSS	NA	-209	Chir04Ox_b08340.2_T001	Chir04Ox_b08340.2	AT2G27180
Peak107	Chr4	19942345	19943333	+	0	NA	promoter-TSS	NA	-983	Chir04Ox_b16890.2_T001	Chir04Ox_b16890.2	AT2G34700
Peak108	Chr6	15027705	15029846	+	0	NA	Intergenic	NA	3815	Chir06Ox_b11300.2_T001	Chir06Ox_b11300.2	AT5G49510
Peak109	Chr1	406125	408231	+	0	NA	promoter-TSS	NA	-203	Chir01Ox_b01150.2_T001	Chir01Ox_b01150.2	AT1G01140
Peak110	Chr6	21379775	21381221	+	0	NA	promoter-TSS	NA	-727	Chir06Ox_b25050.2_T001	Chir06Ox_b25050.2	AT3G46610
Peak111	Chr6	26000348	26002059	+	0	NA	promoter-TSS	NA	-713	Chir06Ox_b37470.2_T001	Chir06Ox_b37470.2	AT5G01520
Peak112	Chr6	21772325	21773688	+	0	NA	intron	NA	1684	Chir06Ox_b26160.2_T001	Chir06Ox_b26160.2	AT5G13330
Peak113	Chr5	19003366	19004219	+	0	NA	Intergenic	NA	3619	Chir05Ox_b15490.2_T001	Chir05Ox_b15490.2	NA
Peak114	Chr5	16620460	16621510	+	0	NA	promoter-TSS	NA	-298	Chir05Ox_b11670.2_T001	Chir05Ox_b11670.2	AT3G46830
Peak115	Chr1	12526439	12528694	+	0	NA	intron	NA	2078	Chir01Ox_b31150.2_T001	Chir01Ox_b31150.2	AT1G32450
Peak116	Chr6	22871401	22872551	+	0	NA	TTS	NA	3828	Chir06Ox_b28970.2_T001	Chir06Ox_b28970.2	AT5G10290
Peak117	Chr8	17030759	17032393	+	0	NA	promoter-TSS	NA	-2385	Chir08Ox_b22560.2_T001	Chir08Ox_b22560.2	AT5G60120
Peak118	Chr5	3709661	3710618	+	0	NA	promoter-TSS	NA	-1847	Chir05Ox_b05740.2_T001	Chir05Ox_b05740.2	AT4G38190
Peak119	Chr5	157524	158507	+	0	NA	promoter-TSS	NA	-2331	Chir05Ox_b00170.2_T001	Chir05Ox_b00170.2	AT2G01190
Peak120	Chr1	25743073	25744903	+	0	NA	promoter-TSS	NA	-848	Chir01Ox_b40540.2_T001	Chir01Ox_b40540.2	AT1G51680
Peak121	Chr3	6451262	6452358	+	0	NA	Intergenic	NA	-3562	Chir03Ox_b18370.2_T001	Chir03Ox_b18370.2	AT3G18524
Peak122	Chr4	1766982	1768459	+	0	NA	promoter-TSS	NA	-1770	Chir04Ox_b02230.2_T001	Chir04Ox_b02230.2	AT2G22802
Peak123	Chr5	24117412	24118965	+	0	NA	promoter-TSS	NA	-661	Chir05Ox_b28560.2_T001	Chir05Ox_b28560.2	AT3G62950
Peak124	Chr7	23361578	23366366	+	0	NA	promoter-TSS	NA	-2104	Chir07Ox_b28200.2_T001	Chir07Ox_b28200.2	AT4G30960
Peak125	Chr6	19846567	19848738	+	0	NA	promoter-TSS	NA	-822	Chir06Ox_b20910.2_T002	Chir06Ox_b20910.2	AT5G18310
Peak126	Chr6	20548048	20550557	+	0	NA	promoter-TSS	NA	-723	Chir06Ox_b22750.2_T001	Chir06Ox_b22750.2	AT5G16567
Peak127	Chr6	18881216	18882627	+	0	NA	promoter-TSS	NA	-487	Chir06Ox_b18380.2_T001	Chir06Ox_b18380.2	AT5G20670
Peak128	Chr5	23017613	23019248	+	0	NA	promoter-TSS	NA	-949	Chir05Ox_b25690.2_T001	Chir05Ox_b25690.2	NA
Peak129	Chr1	5315419	5318267	+	0	NA	promoter-TSS	NA	-1028	Chir01Ox_b15060.2_T001	Chir01Ox_b15060.2	AT1G14920
Peak130	Chr5	23029057	23030061	+	0	NA	TTS	NA	2400	Chir05Ox_b25700.2_T001	Chir05Ox_b25700.2	AT3G59940
Peak131	Chr7	17832737	17835736	+	0	NA	promoter-TSS	NA	-1299	Chir07Ox_b14740.2_T001	Chir07Ox_b14740.2	AT4G17900
Peak132	Chr5	19682083	19683023	+	0	NA	exon	NA	269	Chir05Ox_b16990.2_T001	Chir05Ox_b16990.2	AT3G51660
Peak133	Chr5	14655895	14657241	+	0	NA	Intergenic	NA	-5740	Chir05Ox_b09630.2_T001	Chir05Ox_b09630.2	AT3G44940
Peak134	Chr7	26220870	26222372	+	0	NA	promoter-TSS	NA	-361	Chir07Ox_b35520.2_T001	Chir07Ox_b35520.2	AT4G38060
Peak135	Chr4	2166769	2167526	+	0	NA	Intergenic	NA	10581	Chir04Ox_b02580.2_T001	Chir04Ox_b02580.2	AT2G22920
Peak136	Chr2	18013184	18014476	+	0	NA	promoter-TSS	NA	-372	Chir02Ox_b15680.2_T001	Chir02Ox_b15680.2	AT1G69270
Peak137	Chr2	21806227	21807342	+	0	NA	promoter-TSS	NA	-1304	Chir02Ox_b24620.2_T001	Chir02Ox_b24620.2	NA
Peak138	Chr8	19067943	19070138	+	0	NA	promoter-TSS	NA	-649	Chir08Ox_b28010.2_T002	Chir08Ox_b28010.2	AT5G65310
Peak139	Chr7	19564813	19565807	+	0	NA	promoter-TSS	NA	-339	Chir07Ox_b18420.2_T001	Chir07Ox_b18420.2	AT4G21760
Peak140	Chr4	24999178	25001722	+	0	NA	promoter-TSS	NA	-1086	Chir04Ox_b29090.2_T001	Chir04Ox_b29090.2	AT2G46220
Peak141	Chr5	2161784	2166914	+	0	NA	promoter-TSS	NA	-2091	Chir05Ox_b03830.2_T001	Chir05Ox_b03830.2	AT3G26520
Peak142	Chr5	23475524	23477644	+	0	NA	promoter-TSS	NA	-783	Chir05Ox_b26850.2_T001	Chir05Ox_b26850.2	AT3G61150
Peak143	Chr5	17152081	17153820	+	0	NA	TTS	NA	2715	Chir05Ox_b12490.2_T001	Chir05Ox_b12490.2	AT3G47620
Peak144	Chr4	20542751	20544131	+	0	NA	promoter-TSS	NA	-443	Chir04Ox_b18300.2_T001	Chir04Ox_b18300.2	AT2G36090
Peak145	Chr6	24906061	24907466	+	0	NA	promoter-TSS	NA	-459	Chir06Ox_b34620.2_T001	Chir06Ox_b34620.2	AT5G04330
Peak146	Chr4	23114345	23115488	+	0	NA	promoter-TSS	NA	-411	Chir04Ox_b24010.2_T001	Chir04Ox_b24010.2	AT2G41250
Peak147	Chr8	11598365	11599211	+	0	NA	promoter-TSS	NA	86	Chir08Ox_b12170.2_T001	Chir08Ox_b12170.2	AT5G50860
Peak148	Chr7	19475616	19477111	+	0	NA	promoter-TSS	NA	-516	Chir07Ox_b18260.2_T001	Chir07Ox_b18260.2	AT4G21620
Peak149	Chr1	10065402	10066744	+	0	NA	promoter-TSS	NA	-640	Chir01Ox_b26970.2_T001	Chir01Ox_b26970.2	AT1G28220
Peak150	Chr2	819944	822353	+	0	NA	promoter-TSS	NA	-819	Chir02Ox_b01370.2_T001	Chir02Ox_b01370.2	AT1G63720
Peak151	Chr8	13186194	13187762	+	0	NA	promoter-TSS	NA	31	Chir08Ox_b14110.2_T001	Chir08Ox_b14110.2	AT5G52430
Peak152	Chr2	3888024	3889014	+	0	NA	TTS	NA	1086	Chir02Ox_b06530.2_T001	Chir02Ox_b06530.2	NA
Peak153	Chr5	23899883	23901682	+	0	NA	TTS	NA	2246	Chir05Ox_b27980.2_T001	Chir05Ox_b27980.2	AT3G62280
Peak154	Chr7	17821842	17824152	+	0	NA	promoter-TSS	NA	-1078	Chir07Ox_b14720.2_T001	Chir07Ox_b14720.2	AT4G17890
Peak155	Chr1	23428890	23429590	+	0	NA	promoter-TSS	NA	-173	Chir01Ox_b36950.2_T004	Chir01Ox_b36950.2	AT1G48360
Peak156	Chr6	25846781	25849456	+	0	NA	promoter-TSS	NA	-1091	Chir06Ox_b37070.2_T001	Chir06Ox_b37070.2	AT5G01170
Peak157	Chr8	17820282	17821424	+	0	NA	promoter-TSS	NA	-527	Chir08Ox_b24590.2_T002	Chir08Ox_b24590.2	AT5G62070
Peak158	Chr3	21221825	21222646	+	0	NA	promoter-TSS	NA	-52	Chir03Ox_b32100.2_T001	Chir03Ox_b32100.2	AT2G17710
Peak159	Chr7	25013657	25014973	+	0	NA	promoter-TSS	NA	-272	Chir07Ox_b32490.2_T001	Chir07Ox_b32490.2	AT4G35060
Peak160	Chr3	9351888	9354392	+	0	NA	intron	NA	777	Chir03Ox_b24210.2_T001	Chir03Ox_b24210.2	AT2G13295
Peak161	Chr8	17384977	17387419	+	0	NA	Intergenic	NA	-3501	Chir08Ox_b23430.2_T001	Chir08Ox_b23430.2	AT5G60960
Peak162	Chr3	1714020	1715000	+	0	NA	promoter-TSS	NA	-172	Chir03Ox_b05110.2_T001	Chir03Ox_b05110.2	AT3G05690
Peak163	Chr3	9729014	9730858	+	0	NA	promoter-TSS	NA	-2009	Chir03Ox_b24760.2_T001	Chir03Ox_b24760.2	AT3G24480
Peak164	Chr1	24281896	24282777	+	0	NA	promoter-TSS	NA	-251	Chir01Ox_b38100.2_T001	Chir01Ox_b38100.2	AT1G49160
Peak165	Chr6	24342686	24343804	+	0	NA	TTS	NA	3369	Chir06Ox_b33080.2_T001	Chir06Ox_b33080.2	NA
Peak166	Chr2	347976	349347	+	0	NA	promoter-TSS	NA	-656	Chir02Ox_b00460.2_T001	Chir02Ox_b00460.2	AT1G64385
Peak167	Chr8	19226416	19227940	+	0	NA	exon	NA	2466	Chir08Ox_b28340.2_T001	Chir08Ox_b28340.2	AT5G65683
Peak168	Chr5	626622	627761	+	0	NA	Intergenic	NA	6987	Chir05Ox_b01110.2_T001	Chir05Ox_b01110.2	AT2G02080
Peak169	Chr3	12086765	12087544	+	0	NA	Intergenic	NA	2172	Chir03Ox_b27090.2_T001	Chir03Ox_b27090.2	NA
Peak170	Chr1	21339191	21340034	+	0	NA	intron	NA	5514	Chir01Ox_b35020.2_T001	Chir01Ox_b35020.2	AT1G44170
Peak171	Chr4	17170682	17172185	+	0	NA	TTS	NA	1307	Chir04Ox_b10850.2_T001	Chir04Ox_b10850.2	AT2G29125
Peak172	Chr5	24181995	24182954	+	0	NA	promoter-TSS	NA	-2043	Chir05Ox_b28750.2_T001	Chir05Ox_b28750.2	AT3G63110
Peak173	Chr6	18866424	18867643	+	0	NA	TTS	NA	1692	Chir06Ox_b18350.2_T001	Chir06Ox_b18350.2	AT5G20700
Peak174	Chr1	7471962	7474517	+	0	NA	promoter-TSS	NA	-1735	Chir01Ox_b21070.2_T001	Chir01Ox_b21070.2	AT1G21280
Peak175	Chr3	4036172	4037003	+	0	NA	exon	NA	1799	Chir03Ox_b11890.2_T001	Chir03Ox_b11890.2	AT3G12700
Peak176	Chr7	22352810	22353675	+	0	NA	intron	NA	1826	Chir07Ox_b25780.2_T001	Chir07Ox_b25780.2	AT4G28530
Peak177	Chr4	22378659	22380735	+	0	NA	TTS	NA	297	Chir04Ox_b22290.2_T001	Chir04Ox_b22290.2	AT2G39710
Peak178	Chr7	18563860	18565027	+	0	NA	promoter-TSS	NA	-1713	Chir07Ox_b16250.2_T001	Chir07Ox_b16250.2	AT4G19380
Peak179	Chr7	23062829	23065057	+	0	NA	promoter-TSS	NA	-826	Chir07Ox_b27440.2_T001	Chir07Ox_b27440.2	AT4G30190
Peak180	Chr1	8884741	8885613	+	0	NA	Intergenic	NA	3537	Chir01Ox_b24290.2_T001	Chir01Ox_b24290.2	AT1G26920
Peak181	Chr5	21905718	21907138	+	0	NA	promoter-TSS	NA	-2067	Chir05Ox_b22660.2_T001	Chir05Ox_b22660.2	AT3G57040
Peak182	Chr6	25183938	25185716	+	0	NA	Intergenic	NA	3227	Chir06Ox_b35300.2_T001	Chir06Ox_b35300.2	AT5G03660
