"PeakID","Chr","Start","End","Strand","Peak.Score","Focus.Ratio.Region.Size","Annotation","Detailed.Annotation","Distance.to.TSS","Nearest.PromoterID","Chi_ID","Ath_ID","CH_ID"
"Peak3734","Chr4",23657963,23658715,"+",0,NA,"promoter-TSS",NA,-937,"Chir04Ox_b25400.2_T001","Chir04Ox_b25400.2","AT2G42610","Chir04Ox-b25400.2"
"Peak4282","Chr7",25995513,25997451,"+",0,NA,"Intergenic",NA,-4234,"Chir07Ox_b35010.2_T001","Chir07Ox_b35010.2",NA,"Chir07Ox-b35010.2"
"Peak4454","Chr1",7467613,7469608,"+",0,NA,"promoter-TSS",NA,-1531,"Chir01Ox_b21060.2_T001","Chir01Ox_b21060.2","AT1G21310","Chir01Ox-b21060.2"
"Peak4748","Chr7",25999095,26000001,"+",0,NA,"promoter-TSS",NA,-1168,"Chir07Ox_b35010.2_T001","Chir07Ox_b35010.2",NA,"Chir07Ox-b35010.2"
"Peak4934","Chr8",3821834,3822418,"+",0,NA,"promoter-TSS",NA,-2384,"Chir08Ox_b07590.2_T001","Chir08Ox_b07590.2","AT4G10640","Chir08Ox-b07590.2"
"Peak5342","Chr2",18342674,18343182,"+",0,NA,"intron",NA,1111,"Chir02Ox_b16260.2_T002","Chir02Ox_b16260.2","AT1G69780","Chir02Ox-b16260.2"
"Peak5386","Chr1",26445166,26446114,"+",0,NA,"promoter-TSS",NA,-444,"Chir01Ox_b42060.2_T001","Chir01Ox_b42060.2","AT1G53180","Chir01Ox-b42060.2"
"Peak5488","Chr2",1620949,1621538,"+",0,NA,"promoter-TSS",NA,-150,"Chir02Ox_b02980.2_T001","Chir02Ox_b02980.2","AT1G62480","Chir02Ox-b02980.2"
"Peak5910","Chr1",6850685,6851172,"+",0,NA,"promoter-TSS",NA,92,"Chir01Ox_b19510.2_T001","Chir01Ox_b19510.2","AT1G19570","Chir01Ox-b19510.2"
"Peak6760","Chr5",21221585,21222224,"+",0,NA,"promoter-TSS",NA,-1704,"Chir05Ox_b20810.2_T001","Chir05Ox_b20810.2","AT3G55240","Chir05Ox-b20810.2"
"Peak7574","Chr5",20680013,20680399,"+",0,NA,"promoter-TSS",NA,-1742,"Chir05Ox_b19470.2_T001","Chir05Ox_b19470.2","AT3G53990","Chir05Ox-b19470.2"
"Peak8271","Chr2",1621779,1622277,"+",0,NA,"promoter-TSS",NA,-935,"Chir02Ox_b02980.2_T001","Chir02Ox_b02980.2","AT1G62480","Chir02Ox-b02980.2"
"Peak8416","Chr2",18343562,18344055,"+",0,NA,"TTS",NA,1991,"Chir02Ox_b16260.2_T002","Chir02Ox_b16260.2","AT1G69780","Chir02Ox-b16260.2"
"Peak8501","Chr4",20752670,20753134,"+",0,NA,"promoter-TSS",NA,-163,"Chir04Ox_b18800.2_T001","Chir04Ox_b18800.2","AT2G36540","Chir04Ox-b18800.2"
"Peak8556","Chr4",23658903,23659924,"+",0,NA,"exon",NA,137,"Chir04Ox_b25400.2_T001","Chir04Ox_b25400.2","AT2G42610","Chir04Ox-b25400.2"
"Peak8623","Chr2",17043412,17044126,"+",0,NA,"promoter-TSS",NA,-1653,"Chir02Ox_b14000.2_T001","Chir02Ox_b14000.2","AT1G67750","Chir02Ox-b14000.2"
"Peak8629","Chr7",26003067,26003555,"+",0,NA,"TTS",NA,2595,"Chir07Ox_b35010.2_T001","Chir07Ox_b35010.2",NA,"Chir07Ox-b35010.2"
"Peak8720","Chr6",21060305,21060819,"+",0,NA,"promoter-TSS",NA,-1439,"Chir06Ox_b24220.2_T002","Chir06Ox_b24220.2","AT5G15150","Chir06Ox-b24220.2"
"Peak8812","Chr7",25997834,25998580,"+",0,NA,"promoter-TSS",NA,-2509,"Chir07Ox_b35010.2_T001","Chir07Ox_b35010.2",NA,"Chir07Ox-b35010.2"
"Peak8843","Chr4",23656237,23656790,"+",0,NA,"promoter-TSS",NA,-2763,"Chir04Ox_b25400.2_T001","Chir04Ox_b25400.2","AT2G42610","Chir04Ox-b25400.2"
"Peak9170","Chr5",21220074,21220543,"+",0,NA,"promoter-TSS",NA,-108,"Chir05Ox_b20810.2_T001","Chir05Ox_b20810.2","AT3G55240","Chir05Ox-b20810.2"
"Peak9294","Chr5",20681543,20682014,"+",0,NA,"Intergenic",NA,-3314,"Chir05Ox_b19470.2_T001","Chir05Ox_b19470.2","AT3G53990","Chir05Ox-b19470.2"
"Peak10450","Chr8",17041033,17041416,"+",0,NA,"promoter-TSS",NA,-98,"Chir08Ox_b22580.2_T002","Chir08Ox_b22580.2",NA,"Chir08Ox-b22580.2"
"Peak10589","Chr6",13373229,13373817,"+",0,NA,"intron",NA,1976,"Chir06Ox_b10180.2_T001","Chir06Ox_b10180.2","AT5G48900","Chir06Ox-b10180.2"
"Peak10772","Chr1",26447575,26447989,"+",0,NA,"TTS",NA,1698,"Chir01Ox_b42060.2_T001","Chir01Ox_b42060.2","AT1G53180","Chir01Ox-b42060.2"
"Peak11599","Chr5",21222805,21223598,"+",0,NA,"Intergenic",NA,-3001,"Chir05Ox_b20810.2_T001","Chir05Ox_b20810.2","AT3G55240","Chir05Ox-b20810.2"
"Peak12240","Chr5",19417121,19417660,"+",0,NA,"promoter-TSS",NA,-924,"Chir05Ox_b16230.2_T001","Chir05Ox_b16230.2","AT3G50870","Chir05Ox-b16230.2"
"Peak12708","Chr1",26448257,26449063,"+",0,NA,"TTS",NA,2576,"Chir01Ox_b42060.2_T001","Chir01Ox_b42060.2","AT1G53180","Chir01Ox-b42060.2"
