"PeakID","Chr","Start","End","Strand","Peak.Score","Focus.Ratio.Region.Size","Annotation","Detailed.Annotation","Distance.to.TSS","Nearest.PromoterID","Chi_ID","Ath_ID","CH_ID"
"Peak728","Chr3",6229135,6230223,"+",0,NA,"promoter-TSS",NA,-712,"Chir03Ox_b17790.2_T002","Chir03Ox_b17790.2","AT3G18000","Chir03Ox-b17790.2"
"Peak730","Chr2",2187702,2188993,"+",0,NA,"promoter-TSS",NA,-770,"Chir02Ox_b03920.2_T002","Chir02Ox_b03920.2","AT1G61810","Chir02Ox-b03920.2"
"Peak754","Chr4",21011332,21012169,"+",0,NA,"promoter-TSS",NA,-92,"Chir04Ox_b19210.2_T002","Chir04Ox_b19210.2","AT2G36870","Chir04Ox-b19210.2"
"Peak758","Chr1",7470248,7470873,"+",0,NA,"Intergenic",NA,-3481,"Chir01Ox_b21060.2_T001","Chir01Ox_b21060.2","AT1G21310","Chir01Ox-b21060.2"
"Peak827","Chr1",11047433,11049262,"+",0,NA,"TTS",NA,4960,"Chir01Ox_b28850.2_T001","Chir01Ox_b28850.2","AT1G30330","Chir01Ox-b28850.2"
"Peak885","Chr1",26036849,26037900,"+",0,NA,"Intergenic",NA,-3008,"Chir01Ox_b41040.2_T001","Chir01Ox_b41040.2","AT1G52190","Chir01Ox-b41040.2"
"Peak890","Chr1",11064689,11065812,"+",0,NA,"Intergenic",NA,-11943,"Chir01Ox_b28850.2_T001","Chir01Ox_b28850.2","AT1G30330","Chir01Ox-b28850.2"
"Peak891","Chr5",20677961,20678581,"+",0,NA,"exon",NA,193,"Chir05Ox_b19470.2_T001","Chir05Ox_b19470.2","AT3G53990","Chir05Ox-b19470.2"
"Peak1172","Chr3",10063525,10064461,"+",0,NA,"exon",NA,1632,"Chir03Ox_b25200.2_T001","Chir03Ox_b25200.2","AT3G24770","Chir03Ox-b25200.2"
"Peak1211","Chr7",26114720,26115581,"+",0,NA,"TTS",NA,2153,"Chir07Ox_b35240.2_T001","Chir07Ox_b35240.2","AT4G37800","Chir07Ox-b35240.2"
"Peak1215","Chr6",172390,174448,"+",0,NA,"promoter-TSS",NA,-824,"Chir06Ox_b00490.2_T001","Chir06Ox_b00490.2","AT5G47370","Chir06Ox-b00490.2"
"Peak1231","Chr1",4729107,4729754,"+",0,NA,"promoter-TSS",NA,-688,"Chir01Ox_b13370.2_T001","Chir01Ox_b13370.2","AT1G13400","Chir01Ox-b13370.2"
"Peak1280","Chr1",26041328,26042070,"+",0,NA,"intron",NA,1247,"Chir01Ox_b41040.2_T002","Chir01Ox_b41040.2","AT1G52190","Chir01Ox-b41040.2"
"Peak1305","Chr4",21014022,21015119,"+",0,NA,"promoter-TSS",NA,-2912,"Chir04Ox_b19210.2_T002","Chir04Ox_b19210.2","AT2G36870","Chir04Ox-b19210.2"
"Peak1364","Chr6",18302153,18303467,"+",0,NA,"intron",NA,2059,"Chir06Ox_b17060.2_T001","Chir06Ox_b17060.2","AT5G22740","Chir06Ox-b17060.2"
"Peak1414","Chr1",26819642,26820305,"+",0,NA,"promoter-TSS",NA,-978,"Chir01Ox_b42810.2_T001","Chir01Ox_b42810.2","AT1G53903","Chir01Ox-b42810.2"
"Peak1566","Chr1",11056038,11057440,"+",0,NA,"Intergenic",NA,-3432,"Chir01Ox_b28850.2_T001","Chir01Ox_b28850.2","AT1G30330","Chir01Ox-b28850.2"
"Peak1652","Chr1",5800925,5802868,"+",0,NA,"exon",NA,166,"Chir01Ox_b16570.2_T001","Chir01Ox_b16570.2","AT1G16530","Chir01Ox-b16570.2"
"Peak1688","Chr1",2393702,2395422,"+",0,NA,"TTS",NA,1391,"Chir01Ox_b06960.2_T001","Chir01Ox_b06960.2",NA,"Chir01Ox-b06960.2"
"Peak1689","Chr4",23524667,23525297,"+",0,NA,"intron",NA,595,"Chir04Ox_b25070.2_T001","Chir04Ox_b25070.2","AT2G42320","Chir04Ox-b25070.2"
"Peak1788","Chr1",11514231,11516184,"+",0,NA,"intron",NA,1940,"Chir01Ox_b29650.2_T001","Chir01Ox_b29650.2","AT1G31040","Chir01Ox-b29650.2"
"Peak1798","Chr6",22745034,22746783,"+",0,NA,"promoter-TSS",NA,-506,"Chir06Ox_b28700.2_T001","Chir06Ox_b28700.2","AT5G10570","Chir06Ox-b28700.2"
"Peak1818","Chr6",3028246,3029007,"+",0,NA,"exon",NA,1078,"Chir06Ox_b04340.2_T002","Chir06Ox_b04340.2","AT5G44578","Chir06Ox-b04340.2"
"Peak1913","Chr2",21080166,21081883,"+",0,NA,"promoter-TSS",NA,-575,"Chir02Ox_b22720.2_T001","Chir02Ox_b22720.2","AT1G75780","Chir02Ox-b22720.2"
"Peak1968","Chr1",11893775,11894886,"+",0,NA,"TTS",NA,1461,"Chir01Ox_b30190.2_T001","Chir01Ox_b30190.2","AT1G31710","Chir01Ox-b30190.2"
"Peak1978","Chr1",11518900,11519546,"+",0,NA,"promoter-TSS",NA,-2076,"Chir01Ox_b29650.2_T001","Chir01Ox_b29650.2","AT1G31040","Chir01Ox-b29650.2"
"Peak1985","Chr6",3060581,3061237,"+",0,NA,"Intergenic",NA,-8975,"Chir06Ox_b04370.2_T003","Chir06Ox_b04370.2","AT5G44572","Chir06Ox-b04370.2"
"Peak2065","Chr5",14243202,14244039,"+",0,NA,"promoter-TSS",NA,3,"Chir05Ox_b09350.2_T002","Chir05Ox_b09350.2","AT3G44735","Chir05Ox-b09350.2"
"Peak2216","Chr5",18079714,18080307,"+",0,NA,"promoter-TSS",NA,-50,"Chir05Ox_b14200.2_T001","Chir05Ox_b14200.2","AT3G49220","Chir05Ox-b14200.2"
"Peak2221","Chr2",16759774,16761353,"+",0,NA,"TTS",NA,364,"Chir02Ox_b13550.2_T001","Chir02Ox_b13550.2","AT1G67400","Chir02Ox-b13550.2"
"Peak2275","Chr8",3380805,3381534,"+",0,NA,"TTS",NA,3314,"Chir08Ox_b06850.2_T001","Chir08Ox_b06850.2","AT4G11320","Chir08Ox-b06850.2"
"Peak2371","Chr3",4242138,4242706,"+",0,NA,"promoter-TSS",NA,-302,"Chir03Ox_b12420.2_T001","Chir03Ox_b12420.2","AT3G13175","Chir03Ox-b12420.2"
"Peak2403","Chr1",5216015,5216826,"+",0,NA,"promoter-TSS",NA,-1359,"Chir01Ox_b14810.2_T001","Chir01Ox_b14810.2","AT1G14700","Chir01Ox-b14810.2"
"Peak2484","Chr4",21010124,21010858,"+",0,NA,"TTS",NA,1167,"Chir04Ox_b19210.2_T001","Chir04Ox_b19210.2","AT2G36870","Chir04Ox-b19210.2"
"Peak2621","Chr8",3816632,3817149,"+",0,NA,"TTS",NA,2852,"Chir08Ox_b07590.2_T001","Chir08Ox_b07590.2","AT4G10640","Chir08Ox-b07590.2"
"Peak2641","Chr1",5220030,5220944,"+",0,NA,"TTS",NA,2708,"Chir01Ox_b14810.2_T003","Chir01Ox_b14810.2","AT1G14700","Chir01Ox-b14810.2"
"Peak2748","Chr1",8989006,8989652,"+",0,NA,"intron",NA,2574,"Chir01Ox_b24510.2_T001","Chir01Ox_b24510.2","AT1G26730","Chir01Ox-b24510.2"
"Peak2752","Chr5",19414393,19414846,"+",0,NA,"Intergenic",NA,-3695,"Chir05Ox_b16230.2_T001","Chir05Ox_b16230.2","AT3G50870","Chir05Ox-b16230.2"
"Peak2844","Chr7",4943352,4944342,"+",0,NA,"promoter-TSS",NA,-237,"Chir07Ox_b06140.2_T001","Chir07Ox_b06140.2","AT5G37020","Chir07Ox-b06140.2"
"Peak2897","Chr8",17924321,17924952,"+",0,NA,"promoter-TSS",NA,-1173,"Chir08Ox_b24850.2_T001","Chir08Ox_b24850.2","AT5G62350","Chir08Ox-b24850.2"
"Peak2978","Chr6",18356368,18356847,"+",0,NA,"promoter-TSS",NA,-863,"Chir06Ox_b17160.2_T001","Chir06Ox_b17160.2","AT5G22580","Chir06Ox-b17160.2"
"Peak2996","Chr1",26035271,26036571,"+",0,NA,"Intergenic",NA,-4461,"Chir01Ox_b41040.2_T001","Chir01Ox_b41040.2","AT1G52190","Chir01Ox-b41040.2"
"Peak3000","Chr8",3385805,3386459,"+",0,NA,"promoter-TSS",NA,-1649,"Chir08Ox_b06850.2_T001","Chir08Ox_b06850.2","AT4G11320","Chir08Ox-b06850.2"
"Peak3126","Chr7",2296732,2297292,"+",0,NA,"promoter-TSS",NA,-126,"Chir07Ox_b03460.2_T001","Chir07Ox_b03460.2","AT5G39410","Chir07Ox-b03460.2"
"Peak3286","Chr3",1854475,1855715,"+",0,NA,"Intergenic",NA,3140,"Chir03Ox_b05520.2_T001","Chir03Ox_b05520.2","AT3G06035","Chir03Ox-b05520.2"
"Peak3288","Chr1",11516724,11517215,"+",0,NA,"exon",NA,178,"Chir01Ox_b29650.2_T001","Chir01Ox_b29650.2","AT1G31040","Chir01Ox-b29650.2"
"Peak3432","Chr1",11062534,11063430,"+",0,NA,"Intergenic",NA,-9675,"Chir01Ox_b28850.2_T001","Chir01Ox_b28850.2","AT1G30330","Chir01Ox-b28850.2"
"Peak3440","Chr3",1856837,1857312,"+",0,NA,"TTS",NA,1161,"Chir03Ox_b05520.2_T001","Chir03Ox_b05520.2","AT3G06035","Chir03Ox-b05520.2"
"Peak3449","Chr7",22898406,22899779,"+",0,NA,"TTS",NA,1579,"Chir07Ox_b27160.2_T001","Chir07Ox_b27160.2","AT4G29905","Chir07Ox-b27160.2"
"Peak3508","Chr4",20418827,20420652,"+",0,NA,"TTS",NA,2677,"Chir04Ox_b18080.2_T001","Chir04Ox_b18080.2","AT2G35860","Chir04Ox-b18080.2"
"Peak3534","Chr3",3137933,3139401,"+",0,NA,"TTS",NA,1434,"Chir03Ox_b09250.2_T001","Chir03Ox_b09250.2","AT3G10020","Chir03Ox-b09250.2"
"Peak3579","Chr7",22896639,22898214,"+",0,NA,"Intergenic",NA,3245,"Chir07Ox_b27160.2_T001","Chir07Ox_b27160.2","AT4G29905","Chir07Ox-b27160.2"
"Peak3617","Chr4",18249745,18250266,"+",0,NA,"promoter-TSS",NA,-2764,"Chir04Ox_b12980.2_T002","Chir04Ox_b12980.2","AT2G31160","Chir04Ox-b12980.2"
"Peak3734","Chr4",23657963,23658715,"+",0,NA,"promoter-TSS",NA,-937,"Chir04Ox_b25400.2_T001","Chir04Ox_b25400.2","AT2G42610","Chir04Ox-b25400.2"
"Peak3950","Chr5",5188246,5188838,"+",0,NA,"intron",NA,5557,"Chir05Ox_b06790.2_T001","Chir05Ox_b06790.2","AT3G28860","Chir05Ox-b06790.2"
"Peak3974","Chr8",19149237,19150193,"+",0,NA,"promoter-TSS",NA,-277,"Chir08Ox_b28190.2_T001","Chir08Ox_b28190.2","AT5G65510","Chir08Ox-b28190.2"
"Peak4050","Chr1",26042246,26042825,"+",0,NA,"intron",NA,2083,"Chir01Ox_b41040.2_T002","Chir01Ox_b41040.2","AT1G52190","Chir01Ox-b41040.2"
"Peak4056","Chr8",14587362,14587986,"+",0,NA,"promoter-TSS",NA,-1089,"Chir08Ox_b16470.2_T001","Chir08Ox_b16470.2","AT5G54510","Chir08Ox-b16470.2"
"Peak4163","Chr6",15250299,15251074,"+",0,NA,"TTS",NA,3412,"Chir06Ox_b11590.2_T001","Chir06Ox_b11590.2","AT5G28490","Chir06Ox-b11590.2"
"Peak4167","Chr1",16441695,16442123,"+",0,NA,"Intergenic",NA,-4454,"Chir01Ox_b33620.2_T001","Chir01Ox_b33620.2","AT1G35720","Chir01Ox-b33620.2"
"Peak4206","Chr1",1764911,1766303,"+",0,NA,"promoter-TSS",NA,-916,"Chir01Ox_b04960.2_T001","Chir01Ox_b04960.2","AT1G05710","Chir01Ox-b04960.2"
"Peak4298","Chr7",24207855,24208846,"+",0,NA,"promoter-TSS",NA,-383,"Chir07Ox_b30310.2_T001","Chir07Ox_b30310.2","AT4G32980","Chir07Ox-b30310.2"
"Peak4454","Chr1",7467613,7469608,"+",0,NA,"promoter-TSS",NA,-1531,"Chir01Ox_b21060.2_T001","Chir01Ox_b21060.2","AT1G21310","Chir01Ox-b21060.2"
"Peak4651","Chr1",11895914,11896537,"+",0,NA,"intron",NA,3356,"Chir01Ox_b30190.2_T001","Chir01Ox_b30190.2","AT1G31710","Chir01Ox-b30190.2"
"Peak4832","Chr4",17230115,17230643,"+",0,NA,"exon",NA,493,"Chir04Ox_b10950.2_T001","Chir04Ox_b10950.2","AT2G29320","Chir04Ox-b10950.2"
"Peak4850","Chr8",19198119,19199495,"+",0,NA,"promoter-TSS",NA,-915,"Chir08Ox_b28310.2_T001","Chir08Ox_b28310.2","AT5G65640","Chir08Ox-b28310.2"
"Peak4866","Chr6",25107770,25108840,"+",0,NA,"promoter-TSS",NA,-861,"Chir06Ox_b35140.2_T002","Chir06Ox_b35140.2",NA,"Chir06Ox-b35140.2"
"Peak4883","Chr1",6632972,6633481,"+",0,NA,"intron",NA,610,"Chir01Ox_b18920.2_T001","Chir01Ox_b18920.2","AT1G18870","Chir01Ox-b18920.2"
"Peak4934","Chr8",3821834,3822418,"+",0,NA,"promoter-TSS",NA,-2384,"Chir08Ox_b07590.2_T001","Chir08Ox_b07590.2","AT4G10640","Chir08Ox-b07590.2"
"Peak5030","Chr7",22156548,22157260,"+",0,NA,"promoter-TSS",NA,-338,"Chir07Ox_b25110.2_T001","Chir07Ox_b25110.2","AT4G27950","Chir07Ox-b25110.2"
"Peak5100","Chr8",17925257,17926250,"+",0,NA,"promoter-TSS",NA,-56,"Chir08Ox_b24850.2_T001","Chir08Ox_b24850.2","AT5G62350","Chir08Ox-b24850.2"
"Peak5187","Chr5",5185425,5185965,"+",0,NA,"TTS",NA,8404,"Chir05Ox_b06790.2_T001","Chir05Ox_b06790.2","AT3G28860","Chir05Ox-b06790.2"
"Peak5342","Chr2",18342674,18343182,"+",0,NA,"intron",NA,1111,"Chir02Ox_b16260.2_T002","Chir02Ox_b16260.2","AT1G69780","Chir02Ox-b16260.2"
"Peak5386","Chr1",26445166,26446114,"+",0,NA,"promoter-TSS",NA,-444,"Chir01Ox_b42060.2_T001","Chir01Ox_b42060.2","AT1G53180","Chir01Ox-b42060.2"
"Peak5488","Chr2",1620949,1621538,"+",0,NA,"promoter-TSS",NA,-150,"Chir02Ox_b02980.2_T001","Chir02Ox_b02980.2","AT1G62480","Chir02Ox-b02980.2"
"Peak5509","Chr1",4731405,4731973,"+",0,NA,"exon",NA,1571,"Chir01Ox_b13370.2_T001","Chir01Ox_b13370.2","AT1G13400","Chir01Ox-b13370.2"
"Peak5532","Chr1",6631897,6632733,"+",0,NA,"promoter-TSS",NA,-301,"Chir01Ox_b18920.2_T001","Chir01Ox_b18920.2","AT1G18870","Chir01Ox-b18920.2"
"Peak5681","Chr6",20094298,20094864,"+",0,NA,"promoter-TSS",NA,-126,"Chir06Ox_b21550.2_T001","Chir06Ox_b21550.2","AT5G17760","Chir06Ox-b21550.2"
"Peak5737","Chr1",21762420,21763372,"+",0,NA,"promoter-TSS",NA,-433,"Chir01Ox_b35290.2_T001","Chir01Ox_b35290.2","AT1G44830","Chir01Ox-b35290.2"
"Peak5761","Chr1",16445943,16446496,"+",0,NA,"promoter-TSS",NA,-144,"Chir01Ox_b33620.2_T001","Chir01Ox_b33620.2","AT1G35720","Chir01Ox-b33620.2"
"Peak5823","Chr4",16800404,16800817,"+",0,NA,"Intergenic",NA,-4073,"Chir04Ox_b10500.2_T001","Chir04Ox_b10500.2","AT2G28840","Chir04Ox-b10500.2"
"Peak5825","Chr7",26117104,26117960,"+",0,NA,"promoter-TSS",NA,-229,"Chir07Ox_b35240.2_T001","Chir07Ox_b35240.2","AT4G37800","Chir07Ox-b35240.2"
"Peak6015","Chr4",17233783,17234603,"+",0,NA,"promoter-TSS",NA,-223,"Chir04Ox_b10970.2_T001","Chir04Ox_b10970.2",NA,"Chir04Ox-b10970.2"
"Peak6164","Chr3",7180857,7181853,"+",0,NA,"promoter-TSS",NA,-164,"Chir03Ox_b20060.2_T001","Chir03Ox_b20060.2",NA,"Chir03Ox-b20060.2"
"Peak6201","Chr8",19202284,19204306,"+",0,NA,"Intergenic",NA,3573,"Chir08Ox_b28310.2_T001","Chir08Ox_b28310.2","AT5G65640","Chir08Ox-b28310.2"
"Peak6309","Chr8",17523716,17524642,"+",0,NA,"promoter-TSS",NA,-209,"Chir08Ox_b23810.2_T001","Chir08Ox_b23810.2","AT5G61290","Chir08Ox-b23810.2"
"Peak6434","Chr4",16808397,16808831,"+",0,NA,"Intergenic",NA,3931,"Chir04Ox_b10500.2_T001","Chir04Ox_b10500.2","AT2G28840","Chir04Ox-b10500.2"
"Peak6473","Chr5",18080947,18082162,"+",0,NA,"intron",NA,1494,"Chir05Ox_b14200.2_T001","Chir05Ox_b14200.2","AT3G49220","Chir05Ox-b14200.2"
"Peak6561","Chr4",20969946,20970514,"+",0,NA,"exon",NA,202,"Chir04Ox_b19160.2_T001","Chir04Ox_b19160.2","AT2G36830","Chir04Ox-b19160.2"
"Peak6647","Chr6",25111703,25112367,"+",0,NA,"promoter-TSS",NA,-611,"Chir06Ox_b35150.2_T001","Chir06Ox_b35150.2",NA,"Chir06Ox-b35150.2"
"Peak6737","Chr6",16350705,16351609,"+",0,NA,"promoter-TSS",NA,-343,"Chir06Ox_b13240.2_T001","Chir06Ox_b13240.2",NA,"Chir06Ox-b13240.2"
"Peak6760","Chr5",21221585,21222224,"+",0,NA,"promoter-TSS",NA,-1704,"Chir05Ox_b20810.2_T001","Chir05Ox_b20810.2","AT3G55240","Chir05Ox-b20810.2"
"Peak6770","Chr3",10060941,10061832,"+",0,NA,"promoter-TSS",NA,-975,"Chir03Ox_b25200.2_T001","Chir03Ox_b25200.2","AT3G24770","Chir03Ox-b25200.2"
"Peak6953","Chr4",18251008,18252277,"+",0,NA,"promoter-TSS",NA,-1127,"Chir04Ox_b12980.2_T002","Chir04Ox_b12980.2","AT2G31160","Chir04Ox-b12980.2"
"Peak7060","Chr1",16444995,16445445,"+",0,NA,"promoter-TSS",NA,-1143,"Chir01Ox_b33620.2_T001","Chir01Ox_b33620.2","AT1G35720","Chir01Ox-b33620.2"
"Peak7072","Chr8",14588931,14589587,"+",0,NA,"promoter-TSS",NA,-2674,"Chir08Ox_b16470.2_T001","Chir08Ox_b16470.2","AT5G54510","Chir08Ox-b16470.2"
"Peak7221","Chr7",16119252,16119664,"+",0,NA,"promoter-TSS",NA,-193,"Chir07Ox_b11520.2_T001","Chir07Ox_b11520.2","AT4G15210","Chir07Ox-b11520.2"
"Peak7470","Chr6",16925610,16926026,"+",0,NA,"intron",NA,727,"Chir06Ox_b14320.2_T001","Chir06Ox_b14320.2","AT5G25460","Chir06Ox-b14320.2"
"Peak7498","Chr2",13811794,13813328,"+",0,NA,"intron",NA,859,"Chir02Ox_b11660.2_T001","Chir02Ox_b11660.2","AT1G65960","Chir02Ox-b11660.2"
"Peak7574","Chr5",20680013,20680399,"+",0,NA,"promoter-TSS",NA,-1742,"Chir05Ox_b19470.2_T001","Chir05Ox_b19470.2","AT3G53990","Chir05Ox-b19470.2"
"Peak7629","Chr3",8773686,8774165,"+",0,NA,"promoter-TSS",NA,3,"Chir03Ox_b23410.2_T001","Chir03Ox_b23410.2","AT3G23290","Chir03Ox-b23410.2"
"Peak7637","Chr2",18398859,18400246,"+",0,NA,"intron",NA,1610,"Chir02Ox_b16340.2_T001","Chir02Ox_b16340.2","AT1G69850","Chir02Ox-b16340.2"
"Peak7804","Chr1",2396383,2397258,"+",0,NA,"promoter-TSS",NA,-867,"Chir01Ox_b06960.2_T001","Chir01Ox_b06960.2",NA,"Chir01Ox-b06960.2"
"Peak7893","Chr3",21358382,21358835,"+",0,NA,"promoter-TSS",NA,32,"Chir03Ox_b32220.2_T001","Chir03Ox_b32220.2","AT2G17770","Chir03Ox-b32220.2"
"Peak7910","Chr4",16807058,16807962,"+",0,NA,"TTS",NA,2827,"Chir04Ox_b10500.2_T001","Chir04Ox_b10500.2","AT2G28840","Chir04Ox-b10500.2"
"Peak8093","Chr1",6629745,6631218,"+",0,NA,"promoter-TSS",NA,-2135,"Chir01Ox_b18920.2_T001","Chir01Ox_b18920.2","AT1G18870","Chir01Ox-b18920.2"
"Peak8131","Chr6",3029954,3030394,"+",0,NA,"promoter-TSS",NA,-470,"Chir06Ox_b04340.2_T001","Chir06Ox_b04340.2","AT5G44578","Chir06Ox-b04340.2"
"Peak8271","Chr2",1621779,1622277,"+",0,NA,"promoter-TSS",NA,-935,"Chir02Ox_b02980.2_T001","Chir02Ox_b02980.2","AT1G62480","Chir02Ox-b02980.2"
"Peak8416","Chr2",18343562,18344055,"+",0,NA,"TTS",NA,1991,"Chir02Ox_b16260.2_T002","Chir02Ox_b16260.2","AT1G69780","Chir02Ox-b16260.2"
"Peak8556","Chr4",23658903,23659924,"+",0,NA,"exon",NA,137,"Chir04Ox_b25400.2_T001","Chir04Ox_b25400.2","AT2G42610","Chir04Ox-b25400.2"
"Peak8623","Chr2",17043412,17044126,"+",0,NA,"promoter-TSS",NA,-1653,"Chir02Ox_b14000.2_T001","Chir02Ox_b14000.2","AT1G67750","Chir02Ox-b14000.2"
"Peak8664","Chr4",20415342,20415737,"+",0,NA,"promoter-TSS",NA,-1523,"Chir04Ox_b18080.2_T001","Chir04Ox_b18080.2","AT2G35860","Chir04Ox-b18080.2"
"Peak8788","Chr8",19197223,19197673,"+",0,NA,"promoter-TSS",NA,-2274,"Chir08Ox_b28310.2_T001","Chir08Ox_b28310.2","AT5G65640","Chir08Ox-b28310.2"
"Peak8821","Chr4",18253793,18254177,"+",0,NA,"TTS",NA,1216,"Chir04Ox_b12980.2_T001","Chir04Ox_b12980.2","AT2G31160","Chir04Ox-b12980.2"
"Peak8843","Chr4",23656237,23656790,"+",0,NA,"promoter-TSS",NA,-2763,"Chir04Ox_b25400.2_T001","Chir04Ox_b25400.2","AT2G42610","Chir04Ox-b25400.2"
"Peak8880","Chr5",17420540,17421347,"+",0,NA,"promoter-TSS",NA,-239,"Chir05Ox_b12990.2_T001","Chir05Ox_b12990.2","AT3G48100","Chir05Ox-b12990.2"
"Peak9096","Chr5",5169957,5170986,"+",0,NA,"Intergenic",NA,23628,"Chir05Ox_b06790.2_T001","Chir05Ox_b06790.2","AT3G28860","Chir05Ox-b06790.2"
"Peak9170","Chr5",21220074,21220543,"+",0,NA,"promoter-TSS",NA,-108,"Chir05Ox_b20810.2_T001","Chir05Ox_b20810.2","AT3G55240","Chir05Ox-b20810.2"
"Peak9294","Chr5",20681543,20682014,"+",0,NA,"Intergenic",NA,-3314,"Chir05Ox_b19470.2_T001","Chir05Ox_b19470.2","AT3G53990","Chir05Ox-b19470.2"
"Peak9540","Chr7",22152575,22153097,"+",0,NA,"TTS",NA,3730,"Chir07Ox_b25110.2_T001","Chir07Ox_b25110.2","AT4G27950","Chir07Ox-b25110.2"
"Peak9800","Chr5",5191446,5191794,"+",0,NA,"intron",NA,2479,"Chir05Ox_b06790.2_T001","Chir05Ox_b06790.2","AT3G28860","Chir05Ox-b06790.2"
"Peak9830","Chr1",5253133,5253741,"+",0,NA,"promoter-TSS",NA,-1123,"Chir01Ox_b14900.2_T001","Chir01Ox_b14900.2","AT1G14760","Chir01Ox-b14900.2"
"Peak9861","Chr8",4823050,4824189,"+",0,NA,"promoter-TSS",NA,-529,"Chir08Ox_b08610.2_T002","Chir08Ox_b08610.2","AT4G09820","Chir08Ox-b08610.2"
"Peak9920","Chr7",26118537,26119033,"+",0,NA,"promoter-TSS",NA,-1482,"Chir07Ox_b35240.2_T001","Chir07Ox_b35240.2","AT4G37800","Chir07Ox-b35240.2"
"Peak9939","Chr5",18331443,18331920,"+",0,NA,"promoter-TSS",NA,-96,"Chir05Ox_b14670.2_T001","Chir05Ox_b14670.2","AT3G49620","Chir05Ox-b14670.2"
"Peak10166","Chr6",16926426,16926857,"+",0,NA,"promoter-TSS",NA,-96,"Chir06Ox_b14320.2_T001","Chir06Ox_b14320.2","AT5G25460","Chir06Ox-b14320.2"
"Peak10367","Chr4",13805365,13805779,"+",0,NA,"exon",NA,203,"Chir04Ox_b08240.2_T001","Chir04Ox_b08240.2","AT5G23820","Chir04Ox-b08240.2"
"Peak10418","Chr1",11892691,11893180,"+",0,NA,"promoter-TSS",NA,66,"Chir01Ox_b30190.2_T001","Chir01Ox_b30190.2","AT1G31710","Chir01Ox-b30190.2"
"Peak10450","Chr8",17041033,17041416,"+",0,NA,"promoter-TSS",NA,-98,"Chir08Ox_b22580.2_T002","Chir08Ox_b22580.2",NA,"Chir08Ox-b22580.2"
"Peak10546","Chr5",5184750,5185233,"+",0,NA,"Intergenic",NA,9108,"Chir05Ox_b06790.2_T001","Chir05Ox_b06790.2","AT3G28860","Chir05Ox-b06790.2"
"Peak10589","Chr6",13373229,13373817,"+",0,NA,"intron",NA,1976,"Chir06Ox_b10180.2_T001","Chir06Ox_b10180.2","AT5G48900","Chir06Ox-b10180.2"
"Peak10772","Chr1",26447575,26447989,"+",0,NA,"TTS",NA,1698,"Chir01Ox_b42060.2_T001","Chir01Ox_b42060.2","AT1G53180","Chir01Ox-b42060.2"
"Peak10996","Chr4",20717610,20718182,"+",0,NA,"promoter-TSS",NA,14,"Chir04Ox_b18730.2_T001","Chir04Ox_b18730.2","AT2G36460","Chir04Ox-b18730.2"
